"Back","이전"
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","You cannot delete self-assigned roles."
"You deleted the role.","You deleted the role."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"Edit Role","Edit Role"
"New Role","New Role"
"This role no longer exists.","This role no longer exists."
"You saved the role.","You saved the role."
"An error occurred while saving this role.","An error occurred while saving this role."
"You saved the user.","You saved the user."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Recommended"
"Forced","Forced"
"Sorry, but this password has already been used. Please create another.","입력하신 비밀번호는 이미 사용하셨습니다. 새로운 비밀번호를 설정하세요."
"email","email"
"password","비밀번호"
"username","username"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","올바른 이메일 주소를 입력해주세요"
"Password is required field.","비밀번호를 입력하세요."
"Your password must be at least %1 characters.","비밀번호는 최소 %1자여야 합니다"
"Your password must include both numeric and alphabetic characters.","비밀 번호는 숫자 및 알파벳 문자를 포함 해야 합니다."
"Your password confirmation must match your password.","비밀번호 재확인에 입력한 값이 다릅니다."
"It's time to change your password.","비밀번호를 변경하세요!"
"It's time to <a href=""%1"">change your password</a>.","안전한 사용을 위해 <a href=""%1"">비밀번호 변경</a>을 주기적으로 하세요."
"Your password has expired; please contact your administrator.","비밀번호가 만료되었습니다; 사이트 관리자에게 문의하세요."
"Password Help","Password Help"
"Enter your email address.  You will receive an email with a link to reset your password.","이메일 주소를 입력하세요. 비밀번호를 재설정할 수 있는 링크가 고객님의 이메일로 보내집니다."
"Email address","이메일 주소"
"Retrieve Password","Retrieve Password"
"Back to Sign in","로그인으로 돌아가기"
"Forgot your password?","비밀번호를 잊으셨나요?"
"Reset a Password","비밀번호 재설정"
"Confirm New Password","신규 비밀번호 확인"
"Reset Password","비밀번호 초기화"
"Roles Resources","Roles Resources"
"Resource Access","Resource Access"
"Custom","사용자 정의"
"All","모두"
"Resources","Resources"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","%name에 대한 비밀번호 재설정 확인"
"%name,","%name,"
"There was recently a request to change the password for your account.","최근 고객님의 계정에 대한 비밀번호 변경이 요청되었습니다."
"If you requested this change, reset your password here:","변경요청을 하신 것이 맞으시면, 다음 링크에서 비밀번호 재설정을 해주세요:"
"If you did not make this request, you can ignore this email and your password will remain the same.","만약 이 요청을 고객님께서 하시지 않으셨다면 이 이메일은 무시해도 무방합니다. 이메일주소와 비밀번호는 이전 그대로 유지됩니다."
"Thank you,","Thank you,"
"New %changes for %user_name","New %changes for %user_name"
"Hello,","안녕하세요, "
"We have received a request to change the following information associated with your account at %store_name: %changes.","%store_name에서 고객님의 정보변경을 요청받았습니다: %changes"
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Thanks,"
"All Users","모든 사용자"
"User Roles","User Roles"
"User Notification Template","User Notification Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template chosen based on theme fallback when ""Default"" option is selected."
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Lockout Time (minutes)","Lockout Time (minutes)"
"Password Lifetime (days)","비밀번호 수명 (일)"
"Password Change","비밀번호 변경"
"Unlock","Unlock"
"ID","ID"
"Username","사용자 이름"
"Last login","Last login"
"Failures","Failures"
"Unlocked","Unlocked"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
