"Back","Kembali"
"You deleted the user.","Anda menghapsu pengguna."
"We can't find a user to delete.","We can't find a user to delete."
"This user no longer exists.","Pengguna ini tidak tersedia."
"Edit User","Edit Pengguna"
"You have revoked the user's tokens.","You have revoked the user's tokens."
"We can't find a user to revoke.","We can't find a user to revoke."
"You cannot delete self-assigned roles.","You cannot delete self-assigned roles."
"You deleted the role.","You deleted the role."
"An error occurred while deleting this role.","An error occurred while deleting this role."
"Edit Role","Edit Role"
"New Role","Peran Baru"
"This role no longer exists.","This role no longer exists."
"You saved the role.","You saved the role."
"An error occurred while saving this role.","An error occurred while saving this role."
"You saved the user.","You saved the user."
"A user with the same user name or email already exists.","A user with the same user name or email already exists."
"Recommended","Recommended"
"Forced","Forced"
"Sorry, but this password has already been used. Please create another.","Maaf, Kata sandi ini sudah pernah digunakan. Silahkan buat lain."
"email","email"
"password","kata sandi"
"username","nama pengguna"
"You did not sign in correctly or your account is temporarily disabled.","You did not sign in correctly or your account is temporarily disabled."
"You need more permissions to access this.","You need more permissions to access this."
"Your account is temporarily disabled.","Your account is temporarily disabled."
"User Name is a required field.","User Name is a required field."
"First Name is a required field.","First Name is a required field."
"Last Name is a required field.","Last Name is a required field."
"Please enter a valid email.","Silahkan masukkan email yang benar."
"Password is required field.","Kata sandi adalah bidang yang wajib diisi."
"Your password must be at least %1 characters.","Your password must be at least %1 characters."
"Your password must include both numeric and alphabetic characters.","Kata sandi anda harus menyertakan karakter numerik dan abjad."
"Your password confirmation must match your password.","Your password confirmation must match your password."
"It's time to change your password.","It's time to change your password."
"It's time to <a href=""%1"">change your password</a>.","Saatnya untuk <a href=""%1"">mengganti kata sandi</a>."
"Your password has expired; please contact your administrator.","Your password has expired; please contact your administrator."
"Password Help","Bantuan Kata sandi"
"Enter your email address.  You will receive an email with a link to reset your password.","Enter your email address.  You will receive an email with a link to reset your password."
"Email address","Alamat Email"
"Retrieve Password","Retrieve Password"
"Back to Sign in","Back to Sign in"
"Forgot your password?","Lupa kata sandi anda?"
"Reset a Password","Atur ulang Kata sandi"
"Confirm New Password","Konfirmasi Kata sandi Baru"
"Reset Password","Atur ulang Sandi"
"Roles Resources","Sumber Peran"
"Resource Access","Akses Sumber"
"Custom","Khusus"
"All","Semua"
"Resources","Sumber daya"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Konfirmasi Atur ulang Kata sandi untuk %nama"
"%name,","%nama"
"There was recently a request to change the password for your account.","Baru-baru ini ada permintaan mengganti sandi untuk akun anda."
"If you requested this change, reset your password here:","Jika anda meminta perubahan ini, atur ulang kata sandi anda disini:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Jika anda tidak mengajukan permintaan ini, anda dapat mengabaikan email ini dan sandi anda akan tetap sama."
"Thank you,","Terima kasih,"
"New %changes for %user_name","New %changes for %user_name"
"Hello,","Halo,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","We have received a request to change the following information associated with your account at %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Terima kasih,"
"All Users","Semua Pengguna"
"User Roles","Peran Pengguna"
"User Notification Template","Template Notifikasi Pengguna"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Maximum Login Failures to Lockout Account","Maximum Login Failures to Lockout Account"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Lockout Time (minutes)","Waktu terkunci (menit)"
"Password Lifetime (days)","Password Lifetime (days)"
"Password Change","Ubah Kata sandi"
"Unlock","Membuka"
"ID","Nomor"
"Username","Nama pengguna"
"Last login","Masuk terakhir"
"Failures","Failures"
"Unlocked","Terbuka"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
