"Back","Nazad"
"We have received a request to change the following information associated with your account at %store_name: %changes.","We have received a request to change the following information associated with your account at %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","If you have not authorized this action, please contact us immediately at %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Hvala,"
"All Users","All Users"
"User Roles","Uloge korisnika"
"User Notification Template","Šablon obaveštenja korisnika"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Šablon mejla se bira na osnovu teme kada je izabrana opcija ""Podrazumevano""."
"Maximum Login Failures to Lockout Account","Maksimalni Broj Neuspešnih Prijava do Zaključavanja Naloga"
"We will disable this feature if the value is empty.","We will disable this feature if the value is empty."
"Lockout Time (minutes)","Vreme Zaključavanja (u minutama)"
"Password Lifetime (days)","Trajanje lozinke (dani)"
"Password Change","Promena lozinke"
"Unlock","Otključaj"
"ID","ID"
"Username","Korisničko ime"
"Last login","Last login"
"Failures","Failures"
"Unlocked","Otključano"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Šablon za Resetovanje Password-a"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Ulogovali ste se sa pogrešnom šifrom ili je Vaš nalog privremeno onemogućen. Molimo sačekajte i pokušajte ponovo kasnije."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
