"Back","Vissza"
"Your password confirmation must match your password.","A jelszó megerősítés meg kell egyezzen a jelszóval."
"It's time to change your password.","It's time to change your password."
"It's time to <a href=""%1"">change your password</a>.","It's time to <a href=""%1"">change your password</a>."
"Your password has expired; please contact your administrator.","Jelszó lejárt; Értesítse az adminisztrátort."
"Password Help","Jelszó segítség"
"Enter your email address.  You will receive an email with a link to reset your password.","Adja meg e-mail címét. Egy e-mailt fog kapni a jelszó visszaállítására szolgáló linkkel."
"Email address","Email cím"
"Retrieve Password","Jelszó visszaállítása"
"Back to Sign in","Vissza a bejelentkezéshez"
"Forgot your password?","Elfelejtette a jelszavát?"
"Reset a Password","Jelszó visszaállítása"
"Confirm New Password","Új jelszó megerősítése"
"Reset Password","Jelszó visszaállítása"
"Roles Resources","Szerepkör Erőforrások"
"Resource Access","Erőforrás-hozzáférés"
"Custom","Egyedi"
"All","Összes"
"Resources","Erőforrások"
"Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?","Warning!\r\nThis action will remove this user from already assigned role\r\nAre you sure?"
"Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?","Warning!\r\nThis action will remove those users from already assigned roles\r\nAre you sure?"
"Password Reset Confirmation for %name","Jelszó visszaállítás megerősítése: %name"
"%name,","%name,"
"There was recently a request to change the password for your account.","Nemrég kérelmezték a fiók jelszavának megváltoztatását."
"If you requested this change, reset your password here:","Ha Ön nyújtotta be ezt a kérelmet, állítsa alaphelyzetbe jelszavát itt:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Ha nem Ön kérvényezte a változtatást, nyugodtan figyelmen kívül hagyhatja ezt az e-mailt, a jelszó változatlan marad."
"Thank you,","Köszönönjük,"
"New %changes for %user_name","Új %changes %user_name részére"
"Hello,","Üdvözlöm,"
"We have received a request to change the following information associated with your account at %store_name: %changes.","Kérvény érkezett az Ön fiókjának következő adatainak megváltoztatására: %store_name: %changes."
"If you have not authorized this action, please contact us immediately at %store_email","Ha ezt a műveletet nem Ön engedélyezte, kérjük lépjen kapcsolatba velünk azonnal a következő e-mail címen: %store_email"
"or call us at %store_phone","or call us at %store_phone"
"Thanks,","Köszönettel,"
"All Users","Összes felhasználó"
"User Roles","Felhasználói szerepkörök"
"User Notification Template","Felhasználó értesítési sablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"Maximum Login Failures to Lockout Account","Hibás bejelentkezések maximális száma a fiók zárolásáig"
"We will disable this feature if the value is empty.","Ez a szolgáltatás ki lesz kapcsolva, ha a mező üres."
"Lockout Time (minutes)","Zárolási idő (perc)"
"Password Lifetime (days)","Jelszó élettartama (nap)"
"Password Change","Jelszómódosítás"
"Unlock","Feloldás"
"ID","Azonosító"
"Username","Felhasználónév"
"Last login","Utolsó bejelentkezés"
"Failures","Hibák"
"Unlocked","Feloldva"
"The password for your account has been successfully changed.","The password for your account has been successfully changed."
"If you did not request this change, please contact us.","If you did not request this change, please contact us."
"Reset Password Template","Reset Password Template"
"Administrator","Administrator"
"New admin user '%user_name' created","New admin user '%user_name' created"
"A new admin account was created for %first_name, %last_name using %email.","A new admin account was created for %first_name, %last_name using %email."
"The password entered for the current user is invalid. Verify the password and try again.","The password entered for the current user is invalid. Verify the password and try again."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later."
"More permissions are needed to access this.","More permissions are needed to access this."
"The password reset token is incorrect. Verify the token and try again.","The password reset token is incorrect. Verify the token and try again."
"Your account is temporarily disabled. Please try again later.","Your account is temporarily disabled. Please try again later."
"""User Name"" is required. Enter and try again.","""User Name"" is required. Enter and try again."
"""First Name"" is required. Enter and try again.","""First Name"" is required. Enter and try again."
"""Last Name"" is required. Enter and try again.","""Last Name"" is required. Enter and try again."
