"Back","Kembali"
"No","Tidak"
"All Eav Attributes","Semua Atribut Eav"
"Category Eav Attributes","Kategori Atribut Eav"
"Customer Address Eav Attributes","Atribut Alamat Pelanggan Eav"
"Customer Eav Attributes","Atribut Pelanggan Eav"
"Entity Types","Jenis Entitas"
"ID","Nomor"
"Code","Kode"
"Model","Model"
"Attribute Model","Model Atribut"
"Increment Model","Increment Model"
"Main Table","Meja Utama"
"Additional Attribute Table","Tabel Atribut Tambahan"
"New Eav Attributes","Atribut Eav Baru"
"Product Eav Attributes","Atribut Produk Eav"
"Rma Item Eav Attributes","Rma Item Eav Attributes"
"User Defined Eav Attributes","User Defined Eav Attributes"
"Name","Nama"
"Enabled","Diaktifkan"
"Value","Nilai"
"Scope","Cakupan"
"Configuration","Konfigurasi"
"Path","Rute"
"Data from app/etc/env.php","Data dari app/etc/env.php"
"Title","Judul"
"Group","Grup"
"Is Gateway","Is Gateway"
"Void","Kosong"
"For Checkout","Untuk Checkout"
"For Multishipping","For Multishipping"
"Capture Online","Tangkapan Online"
"Partial Capture Online","Partial Capture Online"
"Refund Online","Pengembalian dana Online"
"Partial Refund Online","Sebagian Pengembalian dana Online"
"Capture Offline","Tangkapan Offline"
"Partial Capture Offline","Partial Capture Offline"
"Refund Offline","Pengembalian dana Offline"
"Partial Refund Offline","Sebagian Pengembalian dana Offline"
"Payments Functionality Matrix","Payments Functionality Matrix"
"Payment Methods","Cara Pembayaran"
"Shipping Methods","Metode Pengiriman"
"Job Code","Kode Pekerjaan"
"Cron Expression","Cron Expression"
"Run Class","Run Class"
"Run Method","Jalankan Metode"
"Group Code","Kode Grup"
"All Configurable Cron Jobs","All Configurable Cron Jobs"
"All Global Cron Jobs","All Global Cron Jobs"
"Cron Schedules List","Cron Schedules List"
"Schedule Id","Id Jadwal"
"Status","Keadaan"
"Created At","Dibuat di"
"Scheduled At","Dijadwalkan Di"
"Executed At","Executed At"
"Finished At","Selesai Di"
"Core Configurable Cron Jobs","Core Configurable Cron Jobs"
"Core Global Cron Jobs","Core Global Cron Jobs"
"Cron Schedules by job code","Cron Schedules by job code"
"Count","Hitung"
"Cron Schedules by status code","Cron Schedules by status code"
"Status Code","Kode Status"
"Custom Configurable Cron Jobs","Custom Configurable Cron Jobs"
"Custom Global Cron Jobs","Custom Global Cron Jobs"
"Errors in Cron Schedules Queue","Errors in Cron Schedules Queue"
"Error","Kesalahan"
"Corrupted Categories Data","Corrupted Categories Data"
"Id","Id"
"Expected Children Count","Expected Children Count"
"Actual Children Count","Actual Children Count"
"Expected Level","Expected Level"
"Actual Level","Actual Level"
"Duplicate Categories By URL Key","Duplicate Categories By URL Key"
"URL key","URL key"
"Store","Toko"
"Duplicate Orders By Increment Id","Duplicate Orders By Increment Id"
"Increment Id","Increment Id"
"Customer Id","Customer Id"
"Duplicate Products By SKU","Duplicate Products By SKU"
"SKU","SKU"
"Duplicate Products By URL Key","Duplicate Products By URL Key"
"URL Key","URL Kunci"
"Website","Situs web"
"Duplicate Users By Email","Duplicate Users By Email"
"Email","Email"
"Type","Jenis"
"Parent","Parent"
"Adminhtml Themes List","Adminhtml Themes List"
"Frontend Themes List","Frontend Themes List"
"Event Name","Event Name"
"Observer Class","Observer Class"
"Method","Metode"
"All Admin Events","Semua Acar Admin"
"All Crontab Events","All Crontab Events"
"All Doc Events","Semua Dokumen Acara"
"All Frontend Events","All Frontend Events"
"All Global events","Semua acara Global"
"All REST Events","Semua Acara REST"
"All SOAP Events","All SOAP Events"
"Core Admin Events","Core Admin Events"
"Core Crontab Events","Core Crontab Events"
"Core Doc Events","Core Doc Events"
"Core Frontend Events","Core Frontend Events"
"Core Global Events","Core Global Events"
"Core REST Events","Core REST Events"
"Core SOAP Events","Core SOAP Events"
"Custom Admin Events","Custom Admin Events"
"Custom Crontab Events","Custom Crontab Events"
"Custom Doc Events","Custom Doc Events"
"Custom Frontend Events","Custom Frontend Events"
"Custom Global Events","Custom Global Events"
"Custom REST Events","Custom REST Events"
"Custom SOAP Events","Custom SOAP Events"
"Log Files","Berkas Log"
"File","Berkas"
"Size","Ukuran"
"Log Entries","Entri Log"
"Last Update","Pembaruan Terakhir"
"Today's Top Debug Messages","Today's Top Debug Messages"
"Message","Pesan"
"Last Occurrence","Last Occurrence"
"Today's Top Exception Messages","Today's Top Exception Messages"
"Stack Trace","Stack Trace"
"Today's Top System Messages","Today's Top System Messages"
"Top Debug Messages","Top Debug Messages"
"Top Exception Messages","Top Exception Messages"
"Top System Messages","Top System Messages"
"Store Views List","Daftar Tampilan Toko"
"Stores List","Daftar Toko"
"Root Category","Kategori Root"
"Default Store View","Tampilan Toko Default"
"Websites List","Daftar Situs web"
"Is Default","Default"
"Default Store","Toko Default"
"Websites Tree","Websites Tree"
"There was an error while loading system report data.","Terjadi kesalahan saat memuat data laporan sistem."
"General","Umum"
"Environment","Lingkungan Hidup"
"Cannot save backup. The reason is: Utility lsof not found","Cannot save backup. The reason is: Utility lsof not found"
"Test error","Uju kesalahan"
"Error message!","Pesan kesalahan!"
"User Defined","Ditetapkan pengguna"
"Entity Type Code","Entity Type Code"
"Source Model","Model Sumber"
"Backend Model","Backend Model"
"Frontend Model","Frontend Model"
"text","teks"
"Show Log","Show Log"
"Delete","Hapus"
"Delete ""%1""","Delete ""%1"""
"Are you sure you want to delete a ""%1"" record?","Are you sure you want to delete a ""%1"" record?"
"View","Lihat"
"Are you sure you wan't to delete a ""%1"" record?","Are you sure you wan't to delete a ""%1"" record?"
"Empty log","Empty log"
"Backup ID: ","Backup ID: "
"Collapse","Collapse"
"Expand","Expand"
" (no data)"," (no data)"
"Top","Atas"
"No data","No data"
"Support Data Collector","Support Data Collector"
"Support System Report","Support System Report"
"System Report","System Report"
"Data","Data"
"Modules","Modules"
"Logs","Log"
"Attributes","Atribut"
"Events","Acara"
"Cron","Cron"
"Design","Desain"
"Stores","Toko"
"New Backup","Cadangan Baru"
"Refresh Status","Segarkan Status"
"Are you sure you want to delete selected item(s)?","Apakah anda yakin ingin menghapus item(s) yang dipilih?"
"Delete items","Hapus benda"
"Code Dump","Kode Dump"
"DB Dump","DB Dump"
"Choose Report Groups","Pilih Grup Laporan"
"New Report","Laporan Baru"
"Date Generated","Date Generated"
"Report Groups","Laporan Grup"
"An item needs to be selected. Select and try again.","An item needs to be selected. Select and try again."
"All processes should be completed.","All processes should be completed."
"The ""%1"" utility wasn't found. Verify the utility and try again.","The ""%1"" utility wasn't found. Verify the utility and try again."
"The ""%1"" utility is unknown. Verify the utility and try again.","The ""%1"" utility is unknown. Verify the utility and try again."
"The root category can't be set. Verify the category and try again.","The root category can't be set. Verify the category and try again."
