"Invitations","Kutsut"
"Your invitation is not valid. Please contact us at %1.","Your invitation is not valid. Please contact us at %1."
"We can't save this customer.","We can't save this customer."
"Page not found.","Sivua ei löydy."
"My Invitations","My Invitations"
"Invalid Form Key. Please refresh the page.","Virheellinen lomakkeen avain. Ole hyvä ja päivitä sivu."
"You sent the invitation for %1.","You sent the invitation for %1."
"Something went wrong while sending an email to %1.","Something went wrong while sending an email to %1."
"We did not send %1 invitation(s) addressed to current customers.","We did not send %1 invitation(s) addressed to current customers."
"Send Invitations","Send Invitations"
"Max Invitations Allowed to be Sent at One Time","Max Invitations Allowed to be Sent at One Time"
"Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead.","Please correct the value for ""%1"" parameter, otherwise we'll use the saved value instead."
"Same as Inviter","Same as Inviter"
"Default Customer Group from System Configuration","Default Customer Group from System Configuration"
"By Invitation Only","By Invitation Only"
"Available to All","Available to All"
"Please correct the invitation code.","Please correct the invitation code."
"You need to specify a customer ID group.","You need to specify a customer ID group."
"The wrong store is specified.","The wrong store is specified."
"You can't update this message.","You can't update this message."
"We can't generate encrypted code.","We can't generate encrypted code."
"We can't find an ID for this invitation.","We can't find an ID for this invitation."
"You can't send an invitation with status ""%1"".","You can't send an invitation with status ""%1""."
"Please enter a valid invitation email.","Please enter a valid invitation email."
"We can't identify the proper website.","We can't identify the proper website."
"Please specify an email.","Please specify an email."
"This invitation is addressed to a current customer: ""%1"".","This invitation is addressed to a current customer: ""%1""."
"This invitation is not valid.","This invitation is not valid."
"Please correct the invitation email.","Please correct the invitation email."
"Invitation for same email address","Invitation for same email address"
"Not Sent","Ei lähetetty"
"Sent","Lähetetty"
"Accepted","Hyväksytty"
"Discarded","Discarded"
"Invitation Information","Invitation Information"
"Send At","Send At"
"Invitation Message","Kutsuviesti"
"Email","Sähköposti"
"Status","Tila"
"Website","Sivusto"
"Store View","Kauppanäkymä"
"Signed Up At","Signed Up At"
"Invitation URL","Invitation URL"
"Link","Linkki"
"Invitee Information","Invitee Information"
"Customer ID","Customer ID"
"Customer Group","Asiakasryhmä"
"First Name","Etunimi"
"Last Name","Sukunimi"
"Sign Up At","Sign Up At"
"Inviter Information","Inviter Information"
"Admin","Ylläpito"
"* Required Fields","* Pakolliset kentät"
"Invite your friends by entering their email addresses","Invite your friends by entering their email addresses"
"Maximum %1 email addresses allowed.","Maximum %1 email addresses allowed."
"Add","Lisää"
"Back to Invitations","Back to Invitations"
"Remove","Poista"
"Enter Email","Enter Email"
"You cannot send more invitations","You cannot send more invitations"
"There are no sent invitations.","There are no sent invitations."
"%inviter_name invites you to join Private Sales Site","%inviter_name invites you to join Private Sales Site"
"Invite to join Private Sales Site","Invite to join Private Sales Site"
"Please accept this invitation to join %store_name.","Please accept this invitation to join %store_name."
"%store_name offers limited time sales of products only to members.","%store_name offers limited time sales of products only to members."
"Please use the following link to create an account and view the deals:","Please use the following link to create an account and view the deals:"
"Private Sales","Yksityiset myynnit"
"Invited Customers","Invited Customers"
"Conversion","Conversion"
"Invitation Section","Invitation Section"
"Conversions","Conversions"
"Customer Invitation Email Sender","Customer Invitation Email Sender"
"Customer Invitation Email Template","Customer Invitation Email Template"
"Enable Invitations Functionality","Enable Invitations Functionality"
"Enable Invitations on Storefront","Enable Invitations on Storefront"
"Referred Customer Group","Referred Customer Group"
"New Accounts Registration","New Accounts Registration"
"Allow Customers to Add Custom Message to Invitation Email","Allow Customers to Add Custom Message to Invitation Email"
"Customer Invitations","Customer Invitations"
"Discard Selected","Discard Selected"
"Are you sure you want to do this?","Haluatko varmasti tehdä tämän?"
"Send Selected","Send Selected"
"ID","Tunnus"
"Invitee","Vastaanottaja"
"Registered","Registered"
"Valid Website","Valid Website"
"Name","Nimi"
"Group","Ryhmä"
"Invitations Sent","Invitations Sent"
"Invitations Accepted","Invitations Accepted"
"Accept Rate","Accept Rate"
"Discard Rate","Discard Rate"
"Accepted and Purchased","Accepted and Purchased"
"Conversion Rate","Conversion Rate"
"Invitation","Invitation"
"The invitation code is incorrect. Verify the code and try again.","The invitation code is incorrect. Verify the code and try again."
"A customer ID group is missing. Enter a group and try again.","A customer ID group is missing. Enter a group and try again."
"The incorrect store is specified. Verify the store and try again.","The incorrect store is specified. Verify the store and try again."
"The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again.","The store credit entered was invalid. Store credit must be less than the order amount. Verify and try again."
"The encrypted code couldn't be generated.","The encrypted code couldn't be generated."
"An ID wasn't found for this invitation. Verify the invitation and try again.","An ID wasn't found for this invitation. Verify the invitation and try again."
"The invitation with the ""%1"" status can't be sent.","The invitation with the ""%1"" status can't be sent."
"A valid invitation email is missing. Enter and try again.","A valid invitation email is missing. Enter and try again."
"The proper website couldn't be identified","The proper website couldn't be identified"
"An email wasn't specified. Enter the email and try again.","An email wasn't specified. Enter the email and try again."
"This invitation is addressed to current customer ""%1"".","This invitation is addressed to current customer ""%1""."
