"My Requisition Lists","Mijn bestellijsten"
"Move Selected","Geselecteerden verplaatsen"
"Move","Verplaats"
"Remove Selected","Verwijder geselecteerde"
"Remove","Verwijder"
"Are you sure you would like to remove selected items from the requisition list?","Weet u zeker dat u deze producten wilt verwijderen van de bestellijst?"
"Delete","Verwijder"
"product(s) require your attention","product(en) vereisen je aandacht"
"Requisition List Name","Bestellijst-naam"
"Description","Omschrijving"
"The shopping cart isn't empty","De winkelwagen is niet leeg"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","Je hebt artikelen in je winkelwagen. Wil je deze artikelen samenvoegen in deze bestelling of deze vervangen?"
"Select Cancel to stay on the current page.","Selecteer ""Annuleren"" om op de huidige pagina te blijven."
"Merge","Samenvoegen"
"Replace","Vervangen"
"Cancel","Annuleer"
"Add item to requisition list","Artikel toevoegen aan bestellijst"
"The item ""%1"" is already in the ""%2"" requisition list.","Het item ""%1"" staat al in de ""%2"" bestellijst."
"Quantities for identical items will be combined.","Hoeveelheden voor identieke items worden gecombineerd."
"Add item","Artikel toevoegen"
"Error","Foutmelding"
"Add items to requisition list","Artikelen toevoegen aan bestellijst"
"Some items in your Shopping Cart are already in the %1 requisition list.","Sommige artikelen in uw winkelwagen staan al in de %1 bestellijst."
"Add items","Artikelen toevoegen"
"Ok","OK"
"Cannot Perform the Requested Action","Kan de gevraagde actie niet uitvoeren"
"This action cannot be performed because the selected product(s) require attention. You must resolve these issues before you can continue.","Deze actie kan niet worden uitgevoerd omdat de geselecteerde product(en) aandacht vereisen. Je moet deze problemen oplossen voordat je verder kunt gaan."
"Please Select Product","Selecteer een product"
"Please select at least one product to proceed.","Selecteer ten minste één product."
"Save","Opslaan"
"Requisition List Section","Bestellijst sectie"
"Enable Requisition List","Bestellijst inschakelen"
"General","Algemeen"
"Number of Requisition Lists","Aantal bestellijsten"
"The number of requisition lists should be equal or more than 2.","Het aantal bestellijsten moet gelijk of meer dan 2 zijn."
"Name & Description","Naam & Beschrijving"
"Items","Producten"
"Latest Activity","Recente activiteit"
