"Change Billing Address","Mengubah Alamat Billing"
"Qty","Jumlah"
"Send To","Kirim Ke"
"A shipping selection is not applicable.","A shipping selection is not applicable."
"Actions","Tindakan"
"Remove Item","Hapus Barang"
"Remove item","Hapus barang"
"Go to Shipping Information","Pergi ke Informasi Pengiriman"
"Update Qty &amp; Addresses","Update Qty &amp; Addresses"
"Enter a New Address","Masukkan Alamat Baru"
"Back to Shopping Cart","Kembali ke Keranjang Belanja"
"Loading...","Loading..."
"Billing Address","Alamat tagihan"
"Change","Perubahan"
"Payment Method","Metode pembayaran"
"Go to Review Your Order","Pergi ke Ulasan Pesanan Anda"
"Back to Shipping Information","Kembali ke Informasi Pengiriman"
"Other items in your order","Barang lainnya sesuai pesanan anda"
"Edit Items","Edit Barang"
"Shipping is not applicable.","Pengiriman tidak berlaku."
"Product Name","Nama Produk"
"Check Out with Multiple Addresses","Check Out with Multiple Addresses"
"Please see","Please see"
"details below","details below"
"Address","Address"
"of","of"
"Shipping To","Shipping To"
"Shipping Method","Metode Pengiriman"
"Incl. Tax","Termasuk Pajak"
"Excl. Tax","Tidak Termasuk Pajak"
"Order Review","Ulasan Pemesanan"
"Item","Barang"
"Edit","Ubah"
"Price","Harga"
"Subtotal","Total bagian"
"Items","Barang"
"Grand Total:","Total Keseluruhan:"
"Submitting order information...","Mengirimkan informasi permintaan..."
"Not all items were included.","Not all items were included."
"For details, see","For details, see"
"Failed to Order","Failed to Order"
"section below","section below"
"For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details.","For successfully ordered items, you'll receive a confirmation email including order numbers, tracking information, and more details."
"Successfully Ordered","Successfully Ordered"
"No shipping required.","No shipping required."
"To purchase these items: Return to the","To purchase these items: Return to the"
"Review page in Checkout","Review page in Checkout"
"resolve any errors, and place a new order.","resolve any errors, and place a new order."
"Address %1 <span>of %2</span>","Alamat %1 <span>dari %2</span>"
"Sorry, no quotes are available for this order right now.","Maaf, tanpa tanda kutip tersedia untuk pesanan ini sekarang."
"Continue to Billing Information","Lanjutkan ke Informasi Penagihan"
"Back to Select Addresses","Kembali ke Pilihan Alamat"
"For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details.","For successfully order items, you'll receive a confirmation email including order numbers, tracking information and more details."
"Successfully ordered","Successfully ordered"
"Continue Shopping","Lanjutkan Belanja"
"We can't complete your order because you don't have a payment method set up.","We can't complete your order because you don't have a payment method set up."
"Please choose a payment method.","Silahkan pilih metode pembayaran."
"Multishipping Settings Section","Multishipping Settings Section"
"Multishipping Settings","Multishipping Settings"
"Options","Pilihan"
"Allow Shipping to Multiple Addresses","Izinkan Pengiriman ke Beberapa Alamat"
"Maximum Qty Allowed for Shipping to Multiple Addresses","Maximum Qty Allowed for Shipping to Multiple Addresses"
"Review Order","Tinjau Pesanan"
"We could only complete part of your order.","We could only complete part of your order."
"We were unable to complete your order.","We were unable to complete your order."
"Select Shipping Method","Pilih Metode Pengiriman"
"Thank you for your purchase!","Terima kasih atas pembelian anda!"
"Thanks for your order. We'll email you order details and tracking information.","Thanks for your order. We'll email you order details and tracking information."
"Your order numbers are: ","Your order numbers are: "
"Your order number is: ","Your order number is: "
"We received your order!","We received your order!"
"We are unable to process your request. Please, try again later.","We are unable to process your request. Please, try again later."
"Ship to:","Dikirim Ke:"
"Error:","Kesalahan:"
"The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again.","The maximum quantity can't be more than %1 when shipping to multiple addresses. Change the quantity and try again."
"Verify the shipping address information and continue.","Verify the shipping address information and continue."
"Verify the billing address information and continue.","Verify the billing address information and continue."
"Set shipping methods for all addresses. Verify the shipping methods and try again.","Set shipping methods for all addresses. Verify the shipping methods and try again."
"A payment method isn't defined. Verify and try again.","A payment method isn't defined. Verify and try again."
"This payment method can't be used for shipping to multiple addresses. Change the payment method and try again.","This payment method can't be used for shipping to multiple addresses. Change the payment method and try again."
"The item isn't found, or it's already ordered.","The item isn't found, or it's already ordered."
"The payment method isn't selected. Enter the payment method and try again.","The payment method isn't selected. Enter the payment method and try again."
"Some addresses can't be used due to the configurations for specific countries.","Some addresses can't be used due to the configurations for specific countries."
