"Delete Current Hierarchy","Slette gjeldende hierarki"
"This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part.","This page cannot be assigned to node, because a node or page with the same URL Key already exists in this tree part."
"Use the parent node hierarchy.","Bruk overordnet node hierarkiet."
"Are you sure you want to delete current hierarchy?","Are you sure you want to delete current hierarchy?"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","This page cannot be added, because a node or page with the same URL Key already exists in this tree part."
"This URL key is already in use.","This URL key is already in use."
"CMS Pages","CMS sider"
"Please select a website or store view.","Velg et nettsted eller lagre visningen."
"Are you sure you want to copy the current hierarchy to the selected destinations?","Are you sure you want to copy the current hierarchy to the selected destinations?"
"Are you sure you want to delete the selected hierarchies?","Are you sure you want to delete the selected hierarchies?"
"Delete","Slett"
"Please select one or more hierarchies to delete.","Velg ett eller flere hierarkier å slette."
"Please assign the current hierarchy to one or more destinations.","Please assign the current hierarchy to one or more destinations."
"Root","Rot"
"No nodes are available","Ingen noder er tilgjengelige"
"Single Hierarchy for All Store Views","Single Hierarchy for All Store Views"
"Specific Hierarchy for Each Store View","Specific Hierarchy for Each Store View"
"CMS Hierarchy for","CMS hierarki for"
"Anchor Custom Text","Egendefinerte ankertekst"
"If this value is empty, the node or page name will be used.","If this value is empty, the node or page name will be used."
"Anchor Custom Title","Anker egendefinert tittel"
"Node","Node"
"Not Selected","Ikke valgt"
"Select a page or node.","Velg en side eller node."
"Parent page","Foreldre side"
"Website Root","Nettside Root"
"Page:","Side:"
"Page","Side"
"Previous","Forrige"
"You're currently reading page","You're currently reading page"
"Next","Neste"
"Delete Revision and Version","Slette revisjon og versjon"
"Publish Revision","Publiser revisjon"
"Pages","Sider"
"CMS Page Hierarchy","CMS sidehierarkiet"
"Enable Hierarchy Functionality","Enable Hierarchy Functionality"
"Enable Hierarchy Metadata","Enable Hierarchy Metadata"
"Default Layout for Hierarchy Menu","Default Layout for Hierarchy Menu"
"CMS Hierarchy","CMS hierarki"
"CMS Hierarchy Node Link","CMS Hierarchy Node Link"
"Link to Specified CMS Hierarchy Node","Link to Specified CMS Hierarchy Node"
"Template","Mal"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"All Store Views","Alle butikkvisninger"
