"Back","Vissza"
"We can't upload the file right now.","We can't upload the file right now."
"Use only standard alphanumeric, dashes and underscores.","Use only standard alphanumeric, dashes and underscores."
"We found a directory with the same name.","We found a directory with the same name."
"We cannot find a directory with this name.","We cannot find a directory with this name."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Theme isn't deletable.","Theme isn't deletable."
"Exception message","Kivétel üzenet"
"localized exception","localized exception"
"Message","Üzenet"
"Test Label","Test Label"
"Phrase","Phrase"
"testMessage","testMessage"
"Edit","Szerkesztés"
"We found no files.","We found no files."
"Browse Files","Fájlok tallózása"
"Scope:","Scope:"
"Remove","Eltávolítás"
"Help Us Keep Magento Healthy","Help Us Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Welcome, %1!","Üdvözlet %1!"
"Toggle Nav","Toggle Nav"
"JavaScript seems to be disabled in your browser.","Úgy tűnik a JavaScript ki van kapcsolva a böngésződben."
"For the best experience on our site, be sure to turn on Javascript in your browser.","A legjobb élményhez az oldalunkon, győződjön meg róla, hogy a JavaScript be van kapcsolva a böngészőjében."
"Local Storage seems to be disabled in your browser.","Úgy tűnik a helyi tárolás ki van kapcsolva a böngészőjében."
"For the best experience on our site, be sure to turn on Local Storage in your browser.","A legjobb élményhez az oldalunkon, győződjön meg róla, hogy a helyi tárolás be van kapcsolva a böngészőjében."
"This is demo store. No orders will be fulfilled.","This is demo store. No orders will be fulfilled."
"Items %1 to %2 of %3 total","Elem %1-%2/%3"
"%1 Item","%1 elem"
"%1 Item(s)","%1 elem"
"Page","Oldal"
"Previous","Előző"
"You're currently reading page","You're currently reading page"
"Next","Következő"
"Show","Megjelenítés"
"per page","oldalanként"
"About the calendar","A naptár névjegye"
"Close","Bezár"
"Go Today","Ugrás a mai napra"
"WK","WK"
"Time","Idő"
"Hour","Óra"
"Minute","Perc"
"%name,","%name,"
"Welcome to %store_name.","Üdvözlet a %store_name webáruházban."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","A bejelentkezéshez használja ezeket az adatokat fizetés közben vagy a <a href=""%customer_url"">Saját fiók</a> oldalon:"
"Email:","E-mail:"
"Password:","Jelszó:"
"Password you set when creating account","Jelszó beállítva a felhasználói fiók létrehozásakor"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","Elfelejtette a jelszavát? <a href=""%reset_url"">Kattintson ide</a> a visszaállításhoz."
"When you sign in to your account, you will be able to:","Ha bejelentkezel a felhasználói fiókodba, képes leszel:"
"Proceed through checkout faster","Gyorsabb vásárlásra"
"Check the status of orders","Rendelések állapotának ellenőrzésére"
"View past orders","Korábbi rendelések megtekintésére"
"Store alternative addresses (for shipping to multiple family members and friends)","További címek tárolására (szállítás családtagoknak, vagy barátoknak)"
"We could not detect a size.","Nem tudjuk megállapítani a méretet."
"We don't recognize this file extension.","Ez a fájl kiterjesztés nem ismert."
"Home","Home"
"Go to Home Page","Go to Home Page"
"Empty","Üres"
"1 column","1 oszlop"
"Configuration","Konfiguráció"
"Default welcome msg!","Alapértelmezett üdvözlő üzenet!"
"Copyright © 2013-present Magento, Inc. All rights reserved.","Copyright © 2013-present Magento, Inc. All rights reserved."
"Design Config Grid","Design Config Grid"
"Rebuild design config grid index","Rebuild design config grid index"
"Admin empty","Admin empty"
"Admin 1column","Admin 1column"
"Theme Information","Téma információk"
"Other Settings","Egyéb beállítások"
"HTML Head","HTML Head"
"Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng. Not all browsers support all these formats!"
"Favicon Icon","Favicon ikon"
"Default Page Title","Default Page Title"
"Page Title Prefix","Page Title Prefix"
"Page Title Suffix","Page Title Suffix"
"Default Meta Description","Default Meta Description"
"Default Meta Keywords","Default Meta Keywords"
"This will be included before head closing tag in page HTML.","This will be included before head closing tag in page HTML."
"Scripts and Style Sheets","Szkriptek és stíluslapok"
"Display Demo Store Notice","Demo bolt értesítés megjelenítése"
"Header","Fejléc"
"Allowed file types: png, gif, jpg, jpeg.","Allowed file types: png, gif, jpg, jpeg."
"Logo Image","Logó"
"Logo Attribute Width","Logo szélessége"
"Logo Attribute Height","Logo magassága"
"Welcome Text","Üdvözlő szöveg"
"Logo Image Alt","Logó helyettesítő szövege (alt tag)"
"Footer","Lábléc"
"This will be displayed just before the body closing tag.","Ez a body záró tag előtt lesz megjelenítve."
"Miscellaneous HTML","Miscellaneous HTML"
"Copyright","Copyright"
"Default Robots","Alapértelmezett Robotok"
"Edit custom instruction of robots.txt File","Egyéni robots.txt utasítás szerkesztése"
"This action will delete your custom instructions and reset robots.txt file to system's default settings.","Ez a művelet törli az egyéni utasításokat és a robots.txt fájlt visszaállítja a rendszer alapértelmezett beállítására."
"Reset To Defaults","Reset To Defaults"
"Website","Honlap"
"Store","Bolt"
"Store View","Bolt nézet"
"Skip to Content","Ugrás a tartalomhoz"
"Menu","Menü"
"Account","Fiók"
"Settings","Beállítások"
"2 columns with left bar","2 oszlop bal oldalsávval"
"2 columns with right bar","2 oszlop jobb oldalsávval"
"3 columns","3 oszlop"
"Exception does not contain field '%1'","Exception does not contain field '%1'"
"exception","exception"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!"
"Default Title","Default Title"
"Title Prefix","Title Prefix"
"Title Suffix","Title Suffix"
"Default Description","Default Description"
"Default Keywords","Default Keywords"
"Miscellaneous Scripts","Miscellaneous Scripts"
"Search Engine Robots","Search Engine Robots"
"Reset to Defaults","Reset to Defaults"
"Logo Image Width","Logo Image Width"
"Logo Image Height","Logo Image Height"
"This will be displayed just before body closing tag.","This will be displayed just before body closing tag."
"Copyright © 2015 Magento. All rights reserved.","Copyright © 2015 Magento. All rights reserved."
"Wrong request.","Wrong request."
"Copyright © 2013-2017 Magento, Inc. All rights reserved.","Copyright © 2013-2017 Magento, Inc. All rights reserved."
"Copyright © 2017 Magento, Inc. All rights reserved.","Copyright © 2017 Magento, Inc. All rights reserved."
"Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!","Allowed file types: ico, png, gif, jpg, jpeg, apng, svg. Not all browsers support all these formats!"
"Allowed file types: png, gif, jpg, jpeg, svg.","Allowed file types: png, gif, jpg, jpeg, svg."
"Copyright © 2016 Magento. All rights reserved.","Copyright © 2016 Magento. All rights reserved."
"Display Report Bugs Link","Display Report Bugs Link"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!","Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG. Not all browsers support all these formats!"
"Page not found.","Page not found."
"The scope or scope ID is invalid. Verify both and try again.","The scope or scope ID is invalid. Verify both and try again."
"The backend model isn't specified for ""%1"".","The backend model isn't specified for ""%1""."
"The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again.","The ""%templateName"" template contains an incorrect configuration, with a reference to itself. Remove or change the reference, then try again."
"The config can't be saved because it's empty. Complete the config and try again.","The config can't be saved because it's empty. Complete the config and try again."
"View","Megnéz"
"This is a demo store. No orders will be fulfilled.","This is a demo store. No orders will be fulfilled."
"Not all browsers support all these formats!","Not all browsers support all these formats!"
"ID","Azonosító"
