"Reimburse Balance","Rambursare sold"
"Purchase Order Number: %1","Numărul comenzii de cumpărare: %1"
"The base currency for %1 has been updated. The currency %2 is still defined as the credit currency for one or more companies. Use the following <a href=""%3"" id=""update-credit-link"">link</a> to perform a bulk operation that updates the credit currency for those companies.","Moneda de bază pentru %1 a fost actualizată. Moneda %2 este încă definită ca moneda de credit pentru una sau mai multe companii. Utilizați următorul <a href=""%3"" id=""update-credit-link"">link</a> pentru a efectua o operațiune în masă care actualizează moneda de credit pentru aceste companii."
"%1 has exceeded its credit limit (%2) by %3. Its outstanding balance, including this order, currently totals %4.","%1 Și-a depășit limita de credit (%2) de %3. Soldul său restant, inclusiv această comandă, în prezent totalizează %4."
"The credit limit for %1 is %2. Its outstanding balance, including this order, currently totals %3","Limita de credit pentru %1 este %2. Soldul său restant, inclusiv această comandă, în prezent totalizează %3"
"Outstanding Balance","Soldul restant"
"Available Credit","Credit disponibil"
"Credit Limit","Limită credit"
"Charged off the company credit","Încărcat din creditul companiei"
"The Company credit on all selected companies will be converted using the rate below. This operation cannot be undone.","Creditul companiei pentru toate companiile selectate va fi convertit folosind rata de mai jos. Această operațiune nu poate fi anulată."
"Credit allocated to %company_name","Credit alocat pentru %company_name"
"Dear %name,","Dragă %name,"
"Your company has been allocated a credit of %available_credit.
    You can now use the Payment On Account method to place you orders.","Firma dvs. a primit un credit de %available_credit.
    Acum puteți utiliza metoda de plată în Cont pentru a plasa comenzi."
"The history of your credit operations is available on the Company Credit page.","Istoricul operațiunilor de credit este disponibil pe pagina de credit a companiei."
"%company_name account reimbursed","%company_name rambursat"
"Your company credit account has been reimbursed by %reimbursed_amount.","Contul de credit al companiei dumneavoastră a fost rambursat cu %reimbursed_amount"
"If you have any questions, please contact the seller.","Dacă aveți întrebări, vă rugăm să contactați vânzătorul."
"%company_name credit limit updated","Limită de credit %company_name actualizată"
"Your credit limit has been updated and is now %available_credit.
    Your outstanding balance currently totals %outstanding_balance. You are %exceed_limit to exceed the credit limit.","Limita de credit a fost actualizată și acum este %available_credit.
    Soldul tău restant totalizează %outstanding_balance. Ești %exceed_limit pentru a depăși limita de credit."
"Order %order_id refunded","Comanda %order_id rambursată"
"A refund of %refunded_amount has been issued on order #%order_id. This amount has been applied to the company credit.","Rambursarea de %refunded_amount a fost emisă la comanda #%order_id. Această sumă a fost aplicată creditului companiei."
"Order %order_id reverted","Comanda %order_id a revenit"
"Your order #%order_id has been cancelled. The order amount reverted to the company credit.","Comanda ta #%order_id a fost anulată. Suma comenzii a revenit la creditul companiei."
"Available Credit ","Credit disponibil "
"The Payment on Account method is not available in the selected currency. Please contact the seller.","Metoda de plată pentru Cont nu este disponibilă în moneda selectată. Vă rugăm să contactați vânzătorul."
"Company credit account will be charged: ","Se va debita contul de credit al companiei: "
"Place Order","Plasează comandă"
"Cancel the Order","Anulează comanda"
"This is a required field.","Acesta este un câmp obligatoriu."
"Please enter a valid number in this field.","Introduceți un număr valid în acest câmp."
"{oldCur}/{newCur} Rate","Rată {oldCur} / {newCur} :"
"Reimburse","Rambursare"
"Save","Salvează"
"Please use only letters (a-z or A-Z), numbers (0-9), dash (-) or slash (/) in this field.","Folosiți numai litere (a-z sau A-Z), cifre (0-9) sau spații în acest câmp."
"The credit limit for %s is %s. It will be exceeded by %s with this order.","Limita de credit pentru %s este %s. Va fi depășită de %s cu această comandă."
"Payment on Account","Plată în cont"
"Enabled","Activat"
"New Order Status","Status Comandă nouă"
"Sort Order","Sortare comandă"
"Title","Titlu"
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Plată din țări specifice"
"Minimum Order Total","Totalul minim al comenzii"
"Maximum Order Total","Comanda Maximă Total"
"Company Credit Change Email Sender","Expeditor Email Schimbare Credit Companie"
"Send Company Credit Change Email Copy To","Trimite Email Schimbare Credit al Companiei la Copiere"
"Comma-separated","Separat prin virgulă"
"Send Email Copy Method","Trimite prin e-mail metoda de copiere"
"Allocated Email Template","Șablon e-mail alocat"
"This email is sent to the Company Admin.","Acest e-mail este trimis Administratorului Companiei."
"Updated Email Template","Șablon e-mail actualizat"
"Reimbursed Email Template","Șablon de e-mail pentru rambursare"
"Refunded Email Template","Șablon e-mail rambursat"
"Reverted Email Template","Șablon e-mail inversat"
"View","Vizualizează"
"Credit Currency","Credit Monedă"
"Allow To Exceed Credit Limit","Permite depășirea Limitei de Credit"
"Reason For Change","Motivul pentru schimbare"
"Amount","Valoarea"
"
                            Limit one PO number per reimburse transaction
                        ","
                            Limitează un număr PO per tranzacție de rambursare
                        "
"
                                Maximum 255 characters are allowed.
                        ","
                                Maxim 255 de caractere sunt permise.
                        "
"Comment","Comentariu"
"Rate","Rată"
"Convert Credit","Convertește Credit"
"Date","Dată"
"Operation","Operațiune"
"Updated By","Actualizat de"
"Purchase Order","Comandă de cumpărare"
"You will be charged for","Veți fi taxat pentru"
"Order Total","Total Comandă"
"%fieldName is a required field.","%fieldName este un câmp obligatoriu."
