"Static Blocks","Staattiset lohkot"
"-- Please Select --","--- Valitse ---"
"New Layout","Uusi asettelu"
"Disable","Poista käytöstä"
"Enable","Käytä"
"Custom design from","Muokattu ulkoasu alkaen"
"Custom design to","Muokattu ulkoasu päättyen"
"Custom Theme","Muokattu teema"
"Custom Layout","Custom Layout"
"Edit Block '%1'","Muokkaa lohkoa '%1'"
"Block Information","Lohkon tiedot"
"Edit Page '%1'","Muokkaa sivua '%1'"
"Page Layout","Sivun asettelu"
"Custom Design","Muokattu ulkoasu"
"Custom Design From","Muokattu ulkoasu alkaen"
"Custom Design To","Muokattu ulkoasu päättyen"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Sivun tila"
"Meta Data","Metatiedot"
"Keywords","Avainsanat"
"Description","Kuvaus"
"You saved this page.","Tämä sivu on tallennettu."
"Could not create directory.","Hakemistoa ei voitu luoda."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Haluatko varmasti poistaa ${ $.$data.title } tietueen?"
"Details","Yksityiskohdat"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Oletko varma, että haluat poistaa tietueen ""${ $.$data.title }""?"
"Are you sure you wan't to delete selected items?","Haluatko varmasti poistaa valitut kohteet?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Hakukoneoptimointi"
"Save","Tallenna"
"Save & Duplicate","Tallenna & luo kaksoiskappale"
"Save & Close","Tallenna & sulje"
"Cancel","Peruuta"
"Delete Selected","Poista Valitut"
"Create Folder","Luo kansio"
"Add Selected","Lisää valitut"
"You duplicated the block.","Lohkosta luotiin kaksoiskappale."
"You duplicated the page.","Sivusta luotiin kaksoiskappale."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Lähetä Kuva"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Default Page Layout"
"WYSIWYG Editor","WYSIWYG-editori"
