"Static Blocks","Statiske blokker"
"This identifier is reserved for ""CMS No Route Page"" in configuration.","This identifier is reserved for ""CMS No Route Page"" in configuration."
"This identifier is reserved for ""CMS Home Page"" in configuration.","This identifier is reserved for ""CMS Home Page"" in configuration."
"This identifier is reserved for ""CMS No Cookies Page"" in configuration.","This identifier is reserved for ""CMS No Cookies Page"" in configuration."
"Could not save the page: %1","Could not save the page: %1"
"CMS Page with id ""%1"" does not exist.","CMS Page with id ""%1"" does not exist."
"Could not delete the page: %1","Could not delete the page: %1"
"A block identifier with the same properties already exists in the selected store.","A block identifier with the same properties already exists in the selected store."
"The page URL key contains capital letters or disallowed symbols.","The page URL key contains capital letters or disallowed symbols."
"The page URL key cannot be made of only numbers.","The page URL key cannot be made of only numbers."
"Please rename the folder using only letters, numbers, underscores and dashes.","Please rename the folder using only letters, numbers, underscores and dashes."
"We found a directory with the same name. Please try another folder name.","We found a directory with the same name. Please try another folder name."
"We cannot create a new directory.","We cannot create a new directory."
"We cannot delete directory %1.","We cannot delete directory %1."
"We can't upload the file right now.","We can't upload the file right now."
"We can't delete root directory %1 right now.","We can't delete root directory %1 right now."
"Privacy and Cookie Policy","Personvern og informasjonskapselsinformasjon"
"Error message","Error message"
"LocalizedException","LokalisertUnntak"
"RuntimeException","RuntimeException"
"Exception","Exception"
"Could not create a directory.","Klarte ikke opprette en mappe."
"Edit","Redigere"
"Delete","Slett"
"Delete %1","Slett %1"
"Are you sure you want to delete a %1 record?","Er du sikker på at du vil slette en %1 oppføring?"
"All Store Views","Alle butikkvisninger"
"View","Visning"
"px.","px."
"No files found","Finner ingen filer"
"Browse Files...","Browse Files..."
"Collapse All","Skjul alle"
"Expand All","Utvid alle"
"We could not detect a size.","We could not detect a size."
"Media Gallery","Media Gallery"
"Content Management","Innholdsbehandling"
"CMS Home Page","CMS Home Page"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Vis varsel hvis JavaScript er deaktivert"
"Show Notice if Local Storage is Disabled","Vis varsel hvis lokal lagring er deaktivert"
"WYSIWYG Options","WYSIWYG alternativer"
"Enable WYSIWYG Editor","Aktiver WYSIWYG Editor"
"CMS Page Link","CMS Page Link"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Page"
"Select Page...","Velg side..."
"Anchor Custom Text","Egendefinerte ankertekst"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Anchor Custom Title","Anker egendefinert tittel"
"Template","Mal"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Static Block","CMS Static Block"
"Contents of a Static Block","Innholdet i en statisk blokk"
"Block","Blokk"
"Select Block...","Velg blokk..."
"CMS Static Block Default Template","CMS Static Block Default Template"
"General Information","Generell Informasjon"
"Enable Block","Aktiver blokk"
"Block Title","Blokk tittel"
"Are you sure you want to delete selected items?","Are you sure you want to delete selected items?"
"Delete items","Slette elementer"
"Page Information","Page Information"
"Enable Page","Aktiver siden"
"Content","Innhold"
"Content Heading","Innhold Overskrift"
"Search Engine Optimization","Søkemotoroptimalisering"
"Meta Title","Meta tittel"
"Meta Keywords","Meta nøkkelord"
"Meta Description","Meta beskrivelse"
"Page in Websites","Side i nettsteder"
"Design","Utforming"
"Layout Update XML","Oppsett Oppdatering XML"
"Custom Design Update","Custom Design Update"
"From","Fra"
"To","Til"
"New Theme","Nytt tema"
"-- Please Select --","-Vennligst velg--"
"New Layout","New Layout"
"Disable","Deaktiver"
"Enable","Aktivere"
"Custom design from","Custom design from"
"Custom design to","Custom design to"
"Custom Theme","Custom Theme"
"Custom Layout","Custom Layout"
"Edit Block '%1'","Edit Block '%1'"
"Block Information","Block Information"
"Edit Page '%1'","Edit Page '%1'"
"Page Layout","Page Layout"
"Custom Design","Custom Design"
"Custom Design From","Custom Design From"
"Custom Design To","Custom Design To"
"Custom Layout Update XML","Custom Layout Update XML"
"Relative to Web Site Base URL","Relative to Web Site Base URL"
"Page Status","Page Status"
"Meta Data","Meta Data"
"Keywords","Keywords"
"Description","Description"
"You saved this page.","You saved this page."
"Could not create directory.","Could not create directory."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Details"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","File validation failed."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Search Engine Optimisation"
"Save","Save"
"Save & Duplicate","Save & Duplicate"
"Save & Close","Save & Close"
"Cancel","Cancel"
"Delete Selected","Delete Selected"
"Create Folder","Create Folder"
"Add Selected","Add Selected"
"You duplicated the block.","You duplicated the block."
"You duplicated the page.","You duplicated the page."
"The CMS block with the ""%1"" ID doesn't exist.","The CMS block with the ""%1"" ID doesn't exist."
"The CMS page with the ""%1"" ID doesn't exist.","The CMS page with the ""%1"" ID doesn't exist."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again."
"The page URL key can't use only numbers. Add letters or words and try again.","The page URL key can't use only numbers. Add letters or words and try again."
"Upload Images","Upload Images"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Default Page Layout"
"WYSIWYG Editor","WYSIWYG Editor"
