"Static Blocks","Blok statis"
"Please rename the folder using only Latin letters, numbers, underscores and dashes.","Please rename the folder using only Latin letters, numbers, underscores and dashes."
"We cannot create the folder under the selected directory.","We cannot create the folder under the selected directory."
"We found a directory with the same name. Please try another folder name.","Kami menemukan direktori dengan nama yang sama. Silahkan coba nama folder yang lain."
"We cannot create a new directory.","Kami tidak dapat membuat direktori baru."
"We cannot delete the selected directory.","We cannot delete the selected directory."
"We cannot delete directory %1.","Kami tidak dapat menghapus direktori %1."
"We can't delete the file right now.","We can't delete the file right now."
"We can't upload the file to the current folder right now. Please try another folder.","We can't upload the file to the current folder right now. Please try another folder."
"File validation failed.","File validation failed."
"We can't upload the file right now.","Kami tidak dapat mengunggah berkas sekarang."
"We can't delete root directory %1 right now.","Kita tidak dapat menghapus direktori root %1 sekarang."
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Kebijakan privasi dan cookie"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","Pengecualian lokal"
"Error","Error"
"Could not create a directory.","Tidak dapat membuat direktori."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","Ubah"
"Delete","Hapus"
"Delete %1","Hapus %1"
"Are you sure you want to delete a %1 record?","Anda yakin ingin menghapus %1 rekaman?"
"All Store Views","Semua Tampilan Store"
"View","Lihat"
"px.","px."
"No files found","File tidak ditemukan"
"Upload Images","Upload Images"
"Collapse All","Tutup Semua"
"Expand All","Perluas Semua"
"Save Page","Simpan Halaman"
"Edit Page Design","Edit Page Design"
"Media Gallery","Media Galeri"
"Content Management","Pengelolaan konten"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","Halaman Utama CMS"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","Halaman CMS tanpa Cookie"
"Show Breadcrumbs for CMS Pages","Tampilkan breadcrumbs untuk halaman CMS"
"Browser Capabilities Detection","Kemampuan Deteksi Browser"
"Redirect to CMS-page if Cookies are Disabled","Alihkan ke halaman-CMS jika Cookie tidak aktif"
"Show Notice if JavaScript is Disabled","Tampilkan Peringatan jika JavaScript tidak aktif"
"Show Notice if Local Storage is Disabled","Tampilkan peringatan jika penyimpanan lokal nonaktif"
"Default Page Layout","Default Page Layout"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Aktifkan Editor WYSIWYG"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","CMS Page Link"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Page"
"Select Page...","Pilih Halaman..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, the Page Title will be used","Jika kosong, judul halaman akan dipakai"
"Anchor Custom Title","Judul Jabatan Jangkar"
"Template","Template"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Static Block","CMS Static Block"
"Contents of a Static Block","Contents of a Static Block"
"Block","Block"
"Select Block...","Pilih Block..."
"CMS Static Block Default Template","CMS Static Block Default Template"
"General Information","Informasi Umum"
"Enable Block","Aktifkan Block"
"Block Title","Judul Block"
"Are you sure you want to delete selected items?","Anda yakin ingin menghapus item yang sudah terpilih?"
"Delete items","Hapus benda"
"Page Information","Informasi Halaman"
"Enable Page","Aktifkan halaman"
"Content","Konten"
"Content Heading","Judul konten"
"Search Engine Optimization","Optimisasi Mesin Pencari"
"Meta Title","Judul Meta"
"Meta Keywords","Kata kunci Meta"
"Meta Description","Deskripsi Meta"
"Page in Websites","Halaman dalam Situs web"
"Design","Desain"
"Layout Update XML","Layout Update XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Custom Design Update"
"From","Dari"
"To","Ke"
"New Theme","Tema baru"
"-- Please Select --","-- Tolong Pilih --"
"New Layout","Layout Baru"
"Disable","Dinonaktifkan"
"Enable","Aktifkan"
"Custom design from","Desain kostum dari"
"Custom design to","Desain khusus ke"
"Custom Theme","Tema khusus"
"Custom Layout","Layout Khusus"
