"Static Blocks","Statički Blokovi"
"Could not create directory.","Nije moguće kreirati direktorijum."
"Delete ${ $.$data.title }","Delete ${ $.$data.title }"
"Are you sure you wan't to delete a ${ $.$data.title } record?","Are you sure you wan't to delete a ${ $.$data.title } record?"
"Details","Detalji"
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }"""
"Are you sure you wan't to delete a ""${ $.$data.title }"" record?","Are you sure you wan't to delete a ""${ $.$data.title }"" record?"
"Are you sure you wan't to delete selected items?","Are you sure you wan't to delete selected items?"
"File validation failed.","Neuspešna validacija fajlova."
"Are you sure you wan't to delete a %1 record?","Are you sure you wan't to delete a %1 record?"
"Search Engine Optimisation","Optimizacija za pretraživače"
"Save","Sačuvaj"
"Save & Duplicate","Sačuvaj & dupliraj"
"Save & Close","Sačuvaj i zatvori"
"Cancel","Otkaži"
"Delete Selected","Izbriši odabrano"
"Create Folder","Kreiraj direktorijum"
"Add Selected","Dodaj odabrane"
"You duplicated the block.","Duplirali ste blok."
"You duplicated the page.","Duplirali ste stranicu."
"The CMS block with the ""%1"" ID doesn't exist.","CMS blok sa ""%1"" ID ne postoji."
"The CMS page with the ""%1"" ID doesn't exist.","CMS stranica sa ""%1"" ID ne postoji."
"The page URL key can't use capital letters or disallowed symbols. Remove the letters and symbols and try again.","U URL ključu stranice se ne mogu koristiti velika slova i nedozvoljeni karakteri. Uklonite slova i simbole i pokušajte ponovo."
"The page URL key can't use only numbers. Add letters or words and try again.","U URL ključu ne možete koristiti samo brojeve. Dodajte slova ili reči i pokušajte ponovo."
"Upload Images","Ubaci Slike"
"TinyMCE 4","TinyMCE 4"
"Default Page Layout","Podrazumevani Raspored Stranica"
"WYSIWYG Editor","Editor Šta vidiš to dobiješ"
