"Static Blocks","Staatilised plokid"
"Temporarily allowed to save HTML value that contains restricted elements. %1","Temporarily allowed to save HTML value that contains restricted elements. %1"
"Invalid HTML provided","Invalid HTML provided"
"Privacy and Cookie Policy","Privacy and Cookie Policy"
"NoSuchEntityException","NoSuchEntityException"
"Error message","Error message"
"LocalizedException","LocalizedException"
"Error","Error"
"Could not create a directory.","Could not create a directory."
"Oh no. That isn't right.","Oh no. That isn't right."
"Invalid format","Invalid format"
"Invalid html","Invalid html"
"Edit","Muuda"
"Delete","Kustuta"
"Delete %1","Kustuta %1"
"Are you sure you want to delete a %1 record?","Are you sure you want to delete a %1 record?"
"All Store Views","Kõik poevaated"
"View","Kuva"
"px.","px."
"No files found","No files found"
"Upload Images","Upload Images"
"Collapse All","Sulge kõik"
"Expand All","Ava kõik"
"Save Page","Salvesta leht"
"Edit Page Design","Edit Page Design"
"Media Gallery","Media Gallery"
"Content Management","Content Management"
"TinyMCE 5","TinyMCE 5"
"CMS Home Page","Avalehe CMS"
"CMS No Route Page","CMS No Route Page"
"CMS No Cookies Page","CMS No Cookies Page"
"Show Breadcrumbs for CMS Pages","Show Breadcrumbs for CMS Pages"
"Browser Capabilities Detection","Browser Capabilities Detection"
"Redirect to CMS-page if Cookies are Disabled","Redirect to CMS-page if Cookies are Disabled"
"Show Notice if JavaScript is Disabled","Show Notice if JavaScript is Disabled"
"Show Notice if Local Storage is Disabled","Show Notice if Local Storage is Disabled"
"Default Page Layout","Default Page Layout"
"WYSIWYG Options","WYSIWYG Options"
"Enable WYSIWYG Editor","Enable WYSIWYG Editor"
"WYSIWYG Editor","WYSIWYG Editor"
"CMS Page Link","CMS Page Link"
"Link to a CMS Page","Link to a CMS Page"
"CMS Page","CMS Page"
"Select Page...","Select Page..."
"Anchor Custom Text","Anchor Custom Text"
"If empty, the Page Title will be used","If empty, the Page Title will be used"
"Anchor Custom Title","Anchor Custom Title"
"Template","Mall"
"CMS Page Link Block Template","CMS Page Link Block Template"
"CMS Page Link Inline Template","CMS Page Link Inline Template"
"CMS Static Block","CMS staatiline plokk"
"Contents of a Static Block","Staatilise ploki sisu"
"Block","Plokk"
"Select Block...","Valige plokk..."
"CMS Static Block Default Template","CMS Static Block Default Template"
"General Information","Üldinfo"
"Enable Block","Luba plokk"
"Block Title","Ploki pealkiri"
"Are you sure you want to delete selected items?","Olete kindel et soovite kustutada valikud kirjed?"
"Delete items","Kustuta üksused"
"Page Information","Leheseaded"
"Enable Page","Luba leht"
"Content","Sisu"
"Content Heading","Sisu pealkiri"
"Search Engine Optimization","Otsimootorite jaoks optimeerimine"
"Meta Title","Meta pealkiri"
"Meta Keywords","Meta märksõnad"
"Meta Description","Meta kirjeldus"
"Page in Websites","Leht veebilehtedes"
"Design","Kujundus"
"Layout Update XML","Paigutuse uuenduse XML"
"Custom Layout Update","Custom Layout Update"
"
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    ","
                        List of layout files with an update handle ""selectable""
                        matching *PageIdentifier*_*UpdateID*.
                        <br/>
                        See Magento documentation for more information
                    "
"Custom Design Update","Kohandatud kujundus"
"From","Kellelt"
"To","Kellele"
"New Theme","Uus teema"
"-- Please Select --","-- Vali --"
"New Layout","Uus kujundus"
"Disable","Keela"
"Enable","Luba"
"Custom design from","Custom design from"
"Custom design to","Custom design to"
"Custom Theme","Custom Theme"
"Custom Layout","Custom Layout"
