"Delete Customer","Obriši Kupca"
"A user with this email address already exists in the system. Enter a different email address to create this user.","Korisnik sa ovom email adresom već postoji u sistemu. Unesite drugu email adresu."
"You are not allowed to do this.","Nije vam dozvoljeno da ovo uradite."
"Cannot create the customer.","Ne može se kreirati kupac."
"The customer was successfully created.","Kupac je uspešno kreiran."
"You cannot delete yourself.","Ne možete obrisati sebe."
"Cannot delete this user.","Ne može delete this user."
"The customer was successfully deleted.","Kupac je uspešno obrisan."
"The customer was successfully updated.","Kupac je uspešno ažuriran."
"Company Profile","Profil kompanije"
"The changes you made on the company profile have been successfully saved.","The changes you made on the company profile su uspešno saved."
"You must fill in all required fields before you can continue.","You must fill in all obavezno poljes before you can continue."
"Bad Request","Bad Zahtev"
"You have deleted role %companyRoleName.","You have deleted role %companyRoleName."
"Add New Role","Dodaj Novo Role"
"Edit Role","Izmeni Role"
"Roles and Permissions","Uloge i dozvole"
"The tree retrieved successfully.","Stablo je uspešno preuzeto."
"The item was successfully moved.","Artikal je uspešno premešten."
"The team was successfully deleted.","Tim je uspešno obrisan."
"The team was successfully updated.","Tim je uspešno ažuriran."
"The team was successfully created.","Tim je uspešno kreiran."
"Company Users","Korisnici kompanije"
"A customer with the same email already assigned to company.","A customer with the same email already assigned to company."
"Active","Aktivan"
"Pending Approval","Čeka odobrenje"
"Rejected","Odbijeno"
"Blocked","Blokirano"
"The company admin cannot be moved to a different location in the company structure.","The company admin ne može be moved to a different location in the company structure."
"A user or a team cannot be moved under itself.","A user or a team ne može be moved under itself."
"A user or a team cannot be moved under its child user or team.","A user or a team ne može be moved under its child user or team."
"The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company.","The specified parent ID belongs to a different company. The specified entity (team or user) and its new parent must belong to the same company."
"Unable to move customer structure.","Nije moguće premestiti strukturu kupca."
"Cannot delete company with id %1","Ne može delete company with id %1"
"No company admin email is specified in request.","Ne company admin email is specified in request."
"No company admin website ID is specified in request.","Ne company admin website ID is specified in request."
"No such entity with id = %idValue","Ne such entity with id = %idValue"
"The user %1 is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user %1 is the company admin and ne može be set to inactive. You must set another user as the company admin first."
"You cannot update the requested attribute. Row ID: %fieldName = %fieldValue.","You ne može update the requested attribute. Row ID: %fieldName = %fieldValue."
"Invalid attribute value. Cannot change company for a company admin.","Neispravan attribute value. Ne može change company for a company admin."
"Company admin","Kompanija admin"
"Company user","Kompanija user"
"Individual user","Individual user"
"Inactive","Neaktivan"
"Unable to set ""allow"" for the resource because its parent resource(s) is set to ""deny"".","Nije moguće postaviti ""dozvoli"" za resurs jer je njegov nadređeni resurs postavljen na ""odbij""."
"Invalid login or password.","Neispravno prijavljivanje ili šifra."
"This account is locked.","Vaš nalog je zaključan."
"Your account is not yet approved. If you have questions, please contact the seller.","Your account is not yet approved. If you have questions, please contact the seller."
"There was an error saving custom attributes.","There was an error saving custom attributes."
"Invalid value of ""%value"" provided for the %fieldName field.","Neispravna vrednost u ""%value"" obezbeđenoj za %fieldName polje."
"""%fieldName"" is required. Enter and try again.","""%imePolja"" je obavezno. Unesite i probajte ponovo."
"No such entity with %fieldName = %fieldValue","Ne postoji entitet sa %fieldName = %fieldValue"
"This role cannot be deleted because users are assigned to it. Reassign the users to another role to continue.","This role ne može be deleted because users are assigned to it. Reassign the users to another role to continue."
"You cannot delete a role when it is the only role in the company. You must create another role before deleting this role.","You ne može delete a role when it is the only role in the company. You must create another role before deleting this role."
"User role with this name already exists. Enter a different name to save this role.","User role with this name already exists. Enter a different name to save this role."
"Cannot delete role with id %1","Ne može delete role with id %1"
"Type %1 is not an instance of %2","Tip %1 nije instanca %2"
"The selected user is inactive. To continue, select another user or activate the current user.","The selected user is inactive. To continue, select another user or activate the current user."
"This customer is a user of a different company. Enter a different email address to continue.","This customer is a user of a different company. Enter a different email address to continue."
"Company with this email address already exists in the system. Enter a different email address to continue.","Kompanija with this email address already exists in the system. Enter a different email address to continue."
"Invalid attribute value. Rejected date&time and Rejected Reason can be changed only when a company status is changed to Rejected.","Neispravan attribute value. Odbijen date&time and Odbijen Reason can be changed only when a company status is changed to Odbijen."
"Could not save company: %1","Nije mogao save company: %1"
"Cannot delete structure with id %1","Ne može delete structure with id %1"
"Could not create team","Nije mogao create team"
"This team has child users or teams aligned to it and cannot be deleted. Please re-align the child users or teams first.","This team has child users or teams aligned to it and ne može be deleted. Please re-align the child users or teams first."
"Could not update team","Nije mogao update team"
"Cannot delete team with id %1","Ne može delete team with id %1"
"You cannot assign a different role to a company admin.","You ne može assign a different role to a company admin."
"You cannot assign multiple roles to a user.","You ne može assign multiple roles to a user."
"Cannot delete the company admin. Delete operation has been stopped. Please repeat the action for the other customers.","Ne može delete the company admin. Obriši operation je stopped. Please repeat the action for the other customers."
"Something went wrong","Nešto nije u redu"
"This customer company account is blocked and customer cannot place orders.","This customer company account is blocked and customer ne može place orders."
"The consumer isn't authorized to access resource.","The consumer isn't authorized to access resource."
" - Duplicated","- Duplicated"
"message","poruka"
"Exception message","Poruka o izuzeću"
"test","test"
"phrase","phrase"
"exception","exception"
"Localized Exception.","Localized Exception."
"Error message","Poruka greške"
"No such entity.","Ne such entity."
"error message","poruka o grešci"
"Could not save role","Nije moguće sačuvati ulogu"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" je obavezno. Unesite i pokušajte ponovo.""%fieldName"" je obavezno. Unesite i pokušajte ponovo."
"Cannot delete team","Ne može se obrisati tim"
"Role Name","Naziv uloge"
"Role Name 15","Role Naziv 15"
"Edit","Izmeni"
"Delete","Obrisati"
"Duplicate","Duplicate"
"Company Name","Naziv kompanije"
"Customer Type:","Tip kupca:"
"Company:","Kompanija:"
"Company Information","Informacije o kompaniji"
"Company Legal Name","Pravni naziv kompanije"
"Company Email","Email kompanije"
"VAT/TAX ID","PIB"
"Re-seller ID","ID preprodavca"
"Legal Address","Pravna adresa"
"Street Address","Adresa"
"City","Grad"
"Country","Država"
"State/Province","Država"
"Please select a region, state or province.","Molimo odaberite mesto."
"ZIP/Postal Code","Poštanski broj"
"Phone Number","Broj telefona"
"Company Administrator","Administrator kompanije"
"Job Title","Radno mesto"
"Email","E-pošta"
"Submit","Pošalji"
"New Company Account","Novi nalog kompanije"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more."
"Create a Company Account","Kreiraj nalog kompanije"
"Business Structure","Business Structure"
"Expand All","Razvij sve"
"Collapse All","Skupi sve"
"Add User","Dodaj User"
"Add Team","Dodaj Team"
"Edit Selected","Izmeni Selected"
"Delete Selected","Izbriši odabrano"
"Error","Greška"
"User Role","Uloga korisnika"
"First Name","Ime"
"Last Name","Prezime"
"Status","Status"
"Team Title","Naziv tima"
"Description","Opis"
"You don't have a company account yet.","Još uvek nemate nalog kompanije."
"Account Information","Informacije o korisničkom nalogu"
"VAT/TAX ID: ","PIB:"
"Re-seller ID: ","ID preprodavca:"
"You have no other address entries in your address book.","Nemate više unosa u svom adresaru."
"T: %1","T: %1"
"Contacts","Kontakti"
"Sales Representative","Predstavnik prodaje"
"Role Information","Informacije o ulozi"
"Role Permissions","Dozvole uloge"
"Save Role","Sačuvaj ulogu"
"Add New User","Dodaj novog korisnika"
"Company","Kompanija"
"Create an Account","Kreiraj Nalog"
"Change","Promena"
"This action will replace your Company Admin.","This action will replace your Kompanija Admin."
"* Your latest changes on the company profile have not been saved yet.","* Your latest changes on the company profile have not been saved yet."
"Dear %name,","Dear %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Dodeljeni ste <a href=""%customer_url"">%company_name</a> kao administrator kompanije."
"When you sign in to your account, you can:","When you sign in to your account, you can:"
"* Create and manage company users and teams","* Kreiraj and manage company users and teams"
"* Manage user permissions for the store","* Manage user permissions for the store"
"* Create and manage company shipping and billing addresses","* Kreiraj and manage company shipping and billing addresses"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","Dodati ste u <a href=%customer_url>%company_name</a> kao član kompanije.
    Kada uđete u svoj nalog,
    deljeni resursi kompanije biće vam dostupni."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Ako je ovo greška,
    kontaktirajte administratora kompanije na %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Vaš nalog je sada aktivan. Možete ga koristiti za prijavljivanje na <a href=""%customer_url"">veb sajt</a>."
"Your account is no longer active. You will not be able to use it for login.","Your account is no longer active. You will not be able to use it for login."
"If this is a mistake, please contact the seller.","If this is a mistake, please contact the seller."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Your account je set to inactive and you ne može now access the company account. If you think this is a mistake, please contact your manager for details."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","A company registration request je submitted by customer %customer. The account is temporarily locked until you approve or reject this company."
"Company: %company","Kompanija: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Vaš zahtev za registraciju kompanije (za <strong>%company_name</strong>)
    je odobren i postavljeni ste kao Admin kompanije.
    Sada možete kreirati i upravljati strukturom svoje kompanije.
    Članovi vaše kompanije mogu zahtevati ponude, kreirati liste zahteva
    i koristiti druge B2B funkcije."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Status vaše kompanije <strong>%company_name</strong>
    je sada <strong>Aktivan</strong>.
    Kada se prijavite, moći ćete da naručujete u ime svoje kompanije
    i koristite druge B2B funkcije."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Your account type je changed from Kompanija Admin to a regular user account. If you think this is a mistake, please contact your manager for details."
"%name,","%naziv,"
"You have been assigned to %company_name as the Sales Representative.","You su assigned to %company_name as the Prodaja Representative."
"When you sign in to your account, you will be able to:","Kada se prijavite na svoj nalog, moći ćete da:"
"* View and manage company quotes in Admin Panel","* Pregled and manage company quotes in Admin Panel"
"* View and edit company profile in Admin Panel","* Pregled and edit company profile in Admin Panel"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Nalog vaše kompanije <strong>%company_name</strong> je blokiran.
    Članovi vaše kompanije mogu nastaviti da koriste veb sajt,
    ali neće moći da naručuju."
"If you have any questions, please contact the seller.","If you have any questions, please contact the seller."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Your company account <strong>%company_name</strong> je suspended, pending approval from the seller."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Vaš zahtev za registraciju kompanije (za <strong>%company_name</strong>) je odbijen
    iz sledećeg razloga:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","This action ne može be undone. Da li ste sigurni želite da delete this company? After the company is deleted, all the company members will be set to Neaktivan."
"Delete a Company?","Obrisati kompaniju?"
"Cancel","Otkaži"
"Are you sure you want to do this?","Jeste li sigurni da želite da uradite ovo?"
"Sorry! You cannot delete this user: The user is the company admin.","Sorry! You ne može delete this user: The user is the company admin."
"Cannot Delete the Company Admin","Ne može Obriši the Kompanija Admin"
"Done","Gotovo"
"No results","Nema rezultata"
"options","opcije"
"Proceed","Proceed"
"Change Company Status?","Promeniti status kompanije?"
"Change status","Promena statusa"
"Popup title","Popup title"
"Cannot delete the user","Ne može delete the user"
"This user cannot be deleted because he/she is a company admin.","This user ne može be deleted because he/she is a company admin."
"Edit User","Uredi korisnika"
"Cannot Delete User","Ne može se obrisati korisnik"
"Delete this user?","Obrisati ovog korisnika?"
"This action cannot be undone. Are you sure you want to delete this user?","This action ne može be undone. Da li ste sigurni želite da delete this user?"
"Edit Team","Izmeni Team"
"Cannot Delete This Team","Ne može se obrisati ovaj tim"
"Delete this team?","Obrisati ovaj tim?"
"This action cannot be undone. Are you sure you want to delete this team?","This action ne može be undone. Da li ste sigurni želite da delete this team?"
"Delete This Role?","Obrisati ovu ulogu?"
"This action cannot be undone. Are you sure you want to delete this role?","This action ne može be undone. Da li ste sigurni želite da delete this role?"
"Cannot Delete Role","Ne može se obrisati uloga"
"Cannot Delete Customer","Ne može se obrisati kupac"
"Set Inactive","Postavi kao neaktivno"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Izaberi Obriši to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Izaberi Set Neaktivan to temporarily lock the user. The user’s content is still available to parent users."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","User with this email already exists in the system. Enter a different email address to continue. If želite da use your current account as an administrator account, please contact the seller."
"Enable Company","Omogući Kompanija"
"Company Configuration","Konfiguracija kompanije"
"General","Opšte"
"Allow Company Registration from the Storefront","Dozvoli Kompanija Registration from the Storefront"
"Email Options - Company Registration","E-pošta Options - Kompanija Registration"
"Company Registration Email Recipient","Primalac emaila registracije kompanije"
"Send Company Registration Email Copy To","Pošalji kopiju emaila registracije kompanije na"
"Comma-separated","Comma-separated"
"Send Email Copy Method","Metod slanja kopije emaila"
"Default Company Registration Email","Podrazumevano Kompanija Registration E-pošta"
"Customer-Related Emails","Kupac-Related Emails"
"Default 'Sales Rep Assigned' Email","Podrazumevano 'Prodaja Rep Assigned' E-pošta"
"This email is sent to the company's Sales Rep and the Company Admin.","This email is sent to the company's Prodaja Rep and the Kompanija Admin."
"Default 'Assign Company to Customer' Email","Podrazumevano 'Assign Kompanija to Kupac' E-pošta"
"This email is sent to the customer only.","This email is sent to the customer only."
"Default 'Assign Company Admin' Email","Podrazumevano 'Assign Kompanija Admin' E-pošta"
"Default 'Company Admin Inactive' Email","Podrazumevano 'Kompanija Admin Neaktivan' E-pošta"
"Default 'Company Admin Changed To Member' Email","Podrazumevano 'Kompanija Admin Changed To Member' E-pošta"
"Default 'Customer Status Active' Email","Podrazumevano 'Kupac Status Aktivan' E-pošta"
"Default 'Customer Status Inactive' Email","Podrazumevano 'Kupac Status Neaktivan' E-pošta"
"Company Status Change","Promena statusa kompanije"
"Send Company Status Change Email Copy To","Pošalji Kompanija Status Change E-pošta Kopiraj To"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Kompanija Admin only."
"Default 'Company Status Change To Active 1"" Email","Podrazumevani email 'Promena statusa kompanije u Aktivna 1"""
"This email is sent when company status changes from Pending Approval to Active.","This email is sent when company status changes from Na čekanju Approval to Aktivan."
"Default 'Company Status Change To Active 2"" Email","Podrazumevani email 'Promena statusa kompanije u Aktivna 2"""
"This email is sent when company status changes from Rejected or Blocked to Active.","This email is sent when company status changes from Odbijen or Blocked to Aktivan."
"Default 'Company Status Change To Rejected"" Email","Podrazumevani email 'Promena statusa kompanije u Odbijena"""
"This email is sent when company status changes to Rejected.","This email is sent when company status changes to Odbijen."
"Default 'Company Status Change To Blocked"" Email","Podrazumevani email 'Promena statusa kompanije u Blokirana"""
"This email is sent when company status changes Blocked.","This email is sent when company status changes Blocked."
"Default 'Company Status Change To Pending Approval"" Email","Podrazumevani email 'Promena statusa kompanije u Čeka odobrenje"""
"This email is sent when company status changes to Pending Approval.","This email is sent when company status changes to Na čekanju Approval."
"All","Sve"
"Account Information (View)","Informacije o nalogu (Pregled)"
"Legal Address (View)","Pravna adresa (Pregled)"
"Contacts (View)","Contacts (Pregled)"
"Company User Management","Upravljanje korisnicima kompanije"
"View roles and permissions","Pregledaj uloge i dozvole"
"Manage roles and permissions","Manage roles and permissions"
"View users and teams","Pregledaj korisnike i timove"
"Manage users and teams","Manage users and teams"
"Sales","Prodaja"
"Checkout (place order)","Naplata (place order)"
"Use Pay On Account method","Koristi metod plaćanja na račun"
"View orders","Pregledaj porudžbine"
"View orders of subordinate users","Pregledaj porudžbine podređenih korisnika"
"Are you sure you want to set the selected companies as active?","Da li ste sigurni želite da set the selected companies as active?"
"Set a Company as Active","Postavi kompaniju kao aktivnu"
"Set Active","Postavi kao aktivno"
"Are you sure you want to block the selected companies?","Da li ste sigurni želite da block the selected companies?"
"Block a Company","Blokiraj kompaniju"
"Block","Blokovi"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","This action ne može be undone. Da li ste sigurni želite da delete the selected companies? After the company is deleted, all the company members will be set to Neaktivan."
"ID","ID"
"Reseller ID","ID preprodavca"
"Comment","Komentar"
"ZIP","ZIP"
"Customer Group","Grupa kupaca"
"Company Admin","Admin kompanije"
"Gender","Pol"
"Customer Type","Tip kupca"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Da li ste sigurni želite da temporarily disable this company account? If you confirm, login for all company members will be blocked."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Da li ste sigurni želite da set this company to active? If you confirm, the company members will be able to operate within their company account.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Da li ste sigurni želite da reject this company? If you confirm, login for all company members will be blocked."
"Please specify the reason","Navedite razlog"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","The reason will appear in the 'Odbijen' email sent to the Kompanija Admin. It will also be saved and displayed in Admin Panel (in the company profile)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Da li ste sigurni želite da block this company? If you proceed, the company members will not be able to place orders."
"Reason for Rejection","Razlog za odbijanje"
"VAT / TAX ID","PIB"
"Website","Web sajt"
"Prefix","Prefiks"
"Middle Name/Initial","Srednje ime/Inicijal"
"Suffix","Sufiks"
"Advanced Settings","Napredna podešavanja"
"Change Customer Group?","Promeniti grupu kupca?"
"This action will change the customer group for all members of this company. Would you like to proceed?","This action will change the customer group for all members of this company. Would you like to proceed?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","The user <%- username %> is the company admin and ne može be set to inactive. You must set another user as the company admin first."
"Customer Active","Aktivan kupac"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company."
"Change Company?","Promeniti kompaniju?"
"Associate to Company","Associate to Kompanija"
"My Orders","Moje porudžbine"
"Create New Customer","Kreiraj Novo Kupac"
"Create New Company Account","Kreiraj novi nalog kompanije"
"Name","Ime"
"Role","Uloga"
"Team","Team"
"Users","Korisnici"
"%fieldName is a required field.","%field naziv je obavezno polje."
"%fieldName is a required field","%fieldName is a obavezno polje"
"Consumer is not authorized to access resource","Consumer is not authorized to access resource"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Your company account is blocked and you ne može place orders. If you have questions, please contact your company administrator."
