"Delete Customer","Ștergeți client"
"""%fieldName"" is required. Enter and try again.""%fieldName"" is required. Enter and try again.","""%fieldName"" este necesar. Introduceți și încercați din nou.""%fieldName"" este necesar. Introduceți și încercați din nou."
"Cannot delete team","Nu se poate șterge echipa"
"Role Name","Nume rol"
"Role Name 15","Nume rol 15"
"Edit","Editare"
"Delete","Șterge"
"Duplicate","Duplicat"
"Company Name","Nume Companie"
"Customer Type:","Tip client:"
"Company:","Companie:"
"Company Information","Datele companiei"
"Company Legal Name","Numele legal al companiei"
"Company Email","E-mail-ul companiei"
"VAT/TAX ID","VAT/TAX ID"
"Re-seller ID","ID re-vânzător"
"Legal Address","Adresa Legala"
"Street Address","Adresă stradă"
"City","Oraș"
"Country","Țară"
"State/Province","Stat/zonă"
"Please select a region, state or province.","Selectați o regiune, un stat sau o zonă."
"ZIP/Postal Code","Cod poștal"
"Phone Number","Număr de telefon"
"Company Administrator","Administrator Companie"
"Job Title","Titlu job"
"Email","Email"
"Submit","Trimiteți"
"New Company Account","Cont nou de firmă"
"If you represent a company, you will want to use our company account area. Creating a company account provides all company members with access to B2B features like quoting, company users management, quick order, and more.","Dacă reprezinți o companie, veți dori să utilizați zona noastră de cont a companiei. Crearea unui cont de firmă oferă tuturor membrilor companiei acces la caracteristici B2B cum ar fi citate, administrarea utilizatorilor companiei, comenzi rapide și multe altele."
"Create a Company Account","Creează un cont de firmă"
"Business Structure","Structura întreprinderii"
"Expand All","Extindeți toate"
"Collapse All","Restrângeți toate"
"Add User","Adaugă utilizator"
"Add Team","Adaugă echipă"
"Edit Selected","Editare selectate"
"Delete Selected","Șterge selecția"
"Error","Eroare"
"User Role","Rol utilizator"
"First Name","Prenume"
"Last Name","Nume"
"Status","Status"
"Team Title","Titlul Echipei"
"Description","Descriere"
"You don't have a company account yet.","Încă nu aveți un cont de firmă."
"Account Information","Informații cont"
"VAT/TAX ID: ","VAT/TAX ID: "
"Re-seller ID: ","ID re-vânzător: "
"You have no other address entries in your address book.","Nu aveți intrări de adrese în agendă."
"T: %1","T: %1"
"Contacts","Contacte"
"Sales Representative","Reprezentant vânzări"
"Role Information","Informații rol"
"Role Permissions","Permisiuni Rol"
"Save Role","Salvați rol"
"Add New User","Adăugați utilizator nou"
"Company","Companie"
"Create an Account","Creați cont"
"Change","Modifică"
"This action will replace your Company Admin.","Această acțiune va înlocui administratorul companiei dvs."
"* Your latest changes on the company profile have not been saved yet.","* Cele mai recente modificări din profilul firmei nu au fost salvate încă."
"Dear %name,","Dear %name,"
"You have been assigned to <a href=""%customer_url"">%company_name</a> as the Company Admin.","Ai fost atribuit lui <a href=""%customer_url"">%company_name</a> ca Administrator al companiei."
"When you sign in to your account, you can:","Când te conectezi la contul tău, poți:"
"* Create and manage company users and teams","* Creați și gestionați utilizatorii și echipele firmei"
"* Manage user permissions for the store","* Gestionați permisiunile utilizatorilor pentru magazin"
"* Create and manage company shipping and billing addresses","* Creați și gestionați adresele de livrare și facturare ale companiei"
"You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you.","You've been added to the <a href=%customer_url>%company_name</a> as the company member.
    Once you enter your account,
    the company's shared resources will be available for you."
"If this is a mistake,
    please contact the company Admin at %company_admin_email.","Dacă aceasta este o greșeală,
    vă rugăm să contactați administratorul companiei la %company_admin_email."
"Your account is now active. You can use it to login to the <a href=""%customer_url"">website</a>.","Contul dvs. este acum activ. Îl puteți folosi pentru a vă conecta la site-ul <a href=""%customer_url""></a>."
"Your account is no longer active. You will not be able to use it for login.","Contul tău nu mai este activ. Nu îl vei mai putea folosi pentru autentificare."
"If this is a mistake, please contact the seller.","Dacă aceasta este o greșeală, vă rugăm să contactați vânzătorul."
"Your account has been set to inactive and you cannot now access the company account. If you think this is a mistake, please contact your manager for details.","Contul dvs. a fost setat la inactiv și nu puteți accesa acum contul companiei. Dacă credeți că este o greșeală, vă rugăm să contactați managerul pentru detalii."
"A company registration request has been submitted by customer %customer. The account is temporarily locked until you approve or reject this company.","O solicitare de înregistrare a firmei a fost depusă de clientul %customer. Contul este blocat temporar până când aprobați sau respingeți această firmă."
"Company: %company","Companie: %company"
"Your company registration request (for the <strong>%company_name</strong>)
    has been approved and you have been set as the Company Admin.
    You can now create and manage your company structure.
    Your company members are able to request quotes, create requisition lists,
    and use other B2B features.","Solicitarea de înregistrare a firmei dvs. (pentru <strong>%company_name</strong>)
    a fost aprobată și ați fost setat ca Administrator al companiei.
    Acum puteți crea și administra structura firmei dvs.
    Membrii firmei dvs. pot solicita oferte, creați liste de cerințe,
    și folosiți alte funcții B2B."
"The status of your company <strong>%company_name</strong>
    is now <strong>Active</strong>.
    Once you login, you will be able to place orders on behalf of your company
    and use other B2B features.","Statutul firmei dumneavoastră <strong>%company_name</strong>
    este acum <strong>Active</strong>.
    Odată ce te autentifici, vei putea plasa comenzi în numele firmei tale
    și să folosești alte funcții B2B."
"Your account type has been changed from Company Admin to a regular user account. If you think this is a mistake, please contact your manager for details.","Tipul de cont a fost schimbat de la Administratorul Companiei la un cont de utilizator obișnuit. Dacă credeți că este o greșeală, vă rugăm să contactați managerul pentru detalii."
"%name,","%name,"
"You have been assigned to %company_name as the Sales Representative.","Ai fost atribuit lui %company_name ca Reprezentant de Vânzări."
"When you sign in to your account, you will be able to:","Când vă veți conecta la contul dumneavoastră, veți putea să:"
"* View and manage company quotes in Admin Panel","* Vizualizați și gestionați ofertele firmei în Panoul de administrare"
"* View and edit company profile in Admin Panel","* Vizualizați și editați profilul firmei în Panoul de administrare"
"Your company account <strong>%company_name</strong> has been blocked.
    Your company members can continue using the website,
    but they will not be able to place orders.","Contul companiei dumneavoastră <strong>%company_name</strong> a fost blocat.
    Membrii firmei dumneavoastră pot continua să utilizeze site-ul,
    dar nu vor putea plasa comenzi."
"If you have any questions, please contact the seller.","Dacă aveți întrebări, vă rugăm să contactați vânzătorul."
"Your company account <strong>%company_name</strong> has been suspended, pending approval from the seller.","Contul companiei dumneavoastră <strong>%company_name</strong> a fost suspendat, în așteptarea aprobării de către vânzător."
"Your company registration request (for the <strong>%company_name</strong>) has been rejected
    for the following reason:","Solicitarea de înregistrare a firmei dvs. (pentru <strong>%company_name</strong>) a fost respinsă
    din următorul motiv:"
"This action cannot be undone. Are you sure you want to delete this company? After the company is deleted, all the company members will be set to Inactive.","Această acțiune nu poate fi anulată. Sigur doriți să ștergeți această companie? După ce firma este ștersă, toți membrii companiei vor fi setați la Inactiv."
"Delete a Company?","Ștergeți o companie?"
"Cancel","anulați"
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
"Sorry! You cannot delete this user: The user is the company admin.","Ne pare rău! Nu puteți șterge acest utilizator: Utilizatorul este administratorul companiei."
"Cannot Delete the Company Admin","Nu se poate șterge administratorul companiei"
"Done","Efectuat"
"No results","Niciun rezultat"
"options","opțiuni"
"Proceed","Continuați"
"Change Company Status?","Schimbați starea companiei?"
"Change status","Modificați status"
"Popup title","Titlu pop-up"
"Cannot delete the user","Nu se poate șterge utilizatorul"
"This user cannot be deleted because he/she is a company admin.","Acest utilizator nu poate fi șters deoarece el/ea este un administrator al companiei."
"Edit User","Editare Utilizator"
"Cannot Delete User","Imposibil de șters utilizatorul"
"Delete this user?","Ștergeți acest utilizator?"
"This action cannot be undone. Are you sure you want to delete this user?","Această acțiune nu poate fi anulată. Sigur doriți să ștergeți acest utilizator?"
"Edit Team","Editare echipă"
"Cannot Delete This Team","Nu se poate șterge această echipă"
"Delete this team?","Ștergeți această echipă?"
"This action cannot be undone. Are you sure you want to delete this team?","Această acțiune nu poate fi anulată. Sigur doriți să ștergeți această echipă?"
"Delete This Role?","Ștergeți acest rol?"
"This action cannot be undone. Are you sure you want to delete this role?","Această acțiune nu poate fi anulată. Sigur doriți să ștergeți acest rol?"
"Cannot Delete Role","Nu se poate șterge rolul"
"Cannot Delete Customer","Clientul nu poate fi șters"
"Set Inactive","Setare inactivă"
"Select Delete to permanently delete the user account and content. User's orders and quotes are still visible for the merchant. Select Set Inactive to temporarily lock the user. The user’s content is still available to parent users.","Selectați Ștergerea pentru a șterge permanent contul de utilizator și conținutul. Comenzile și ofertele utilizatorului sunt încă vizibile pentru comerciant. Selectați Setare inactivă pentru a bloca temporar utilizatorul. Conținutul utilizatorului este încă disponibil utilizatorilor părinti."
"User with this email already exists in the system. Enter a different email address to continue. If you want to use your current account as an administrator account, please contact the seller.","Pentru a continua, există deja un utilizator cu acest e-mail. Pentru a continua, introduceți o adresă de e-mail diferită. Dacă doriți să utilizați contul dvs. curent ca pe un cont de administrator, vă rugăm să contactați vânzătorul."
"Enable Company","Activare companie"
"Company Configuration","Configurare companie"
"General","General"
"Allow Company Registration from the Storefront","Permiteți înregistrarea companiei din Magazin"
"Email Options - Company Registration","Opțiuni e-mail - Înregistrare Companie"
"Company Registration Email Recipient","Destinatarul e-mailului de înregistrare"
"Send Company Registration Email Copy To","Trimite Email Înregistrare Companie Copiere la"
"Comma-separated","Separat prin virgulă"
"Send Email Copy Method","Trimite prin e-mail metoda de copiere"
"Default Company Registration Email","E-mail implicit de înregistrare firmă"
"Customer-Related Emails","Customer-Related Emails"
"Default 'Sales Rep Assigned' Email","Email implicit 'Reprezentant Vânzări atribuit'"
"This email is sent to the company's Sales Rep and the Company Admin.","Acest e-mail este trimis către Reprezentantul de Vânzări și către Administratorul Companiei."
"Default 'Assign Company to Customer' Email","E-mail implicit 'Atribuire Companie Clientului'"
"This email is sent to the customer only.","Acest e-mail este trimis doar clientului."
"Default 'Assign Company Admin' Email","E-mail implicit 'Asignează Administratorul Companiei'"
"Default 'Company Admin Inactive' Email","Default 'Company Admin Inactive' Email"
"Default 'Company Admin Changed To Member' Email","E-mailul implicit 'Administratorul Companiei a fost schimbat la Membru'"
"Default 'Customer Status Active' Email","Email implicit 'Stare Client'"
"Default 'Customer Status Inactive' Email","Email implicit 'Status client inactiv'"
"Company Status Change","Schimbare status firmă"
"Send Company Status Change Email Copy To","Trimite prin email schimbarea stării firmei Copiere"
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Separat prin virgulă. Destinatar(i) va primi o copie a unui e-mail care este implicit trimis doar către Administratorul Companiei."
"Default 'Company Status Change To Active 1"" Email","Email implicit 'Company Status Change to Active 1'"
"This email is sent when company status changes from Pending Approval to Active.","Acest e-mail este trimis atunci când starea firmei se modifică din Așteptarea Aprobării pentru Activare."
"Default 'Company Status Change To Active 2"" Email","Email implicit 'Company Status Change to Active 2'"
"This email is sent when company status changes from Rejected or Blocked to Active.","Acest e-mail este trimis atunci când starea companiei se schimbă din Respins sau Blocat la Active."
"Default 'Company Status Change To Rejected"" Email","Implicit 'Company Status Change to Rejected"" Email"
"This email is sent when company status changes to Rejected.","Acest e-mail este trimis atunci când starea companiei se modifică în Respingere."
"Default 'Company Status Change To Blocked"" Email","Email implicit 'Schimbarea Stării Companiei către Blocat'"
"This email is sent when company status changes Blocked.","Acest e-mail este trimis atunci când starea companiei se schimbă în Blocat."
"Default 'Company Status Change To Pending Approval"" Email","E-mail implicit 'Schimbare stare firmă la aprobarea în așteptare"""
"This email is sent when company status changes to Pending Approval.","Acest e-mail este trimis atunci când starea companiei se modifică în Așteptarea Aprobării."
"All","Toate"
"Account Information (View)","Informații cont (View)"
"Legal Address (View)","Adresa Legala (View)"
"Contacts (View)","Contacte (View)"
"Company User Management","Managementul Utilizatorului Companiei"
"View roles and permissions","Vezi roluri și permisiuni"
"Manage roles and permissions","Gestionați roluri și permisiuni"
"View users and teams","Vezi utilizatori și echipe"
"Manage users and teams","Gestionați utilizatorii și echipele"
"Sales","Vânzări"
"Checkout (place order)","Checkout (plasare comandă)"
"Use Pay On Account method","Folosește metoda de plată pe cont"
"View orders","Vezi comenzile"
"View orders of subordinate users","Vezi comenzile utilizatorilor subordonați"
"Are you sure you want to set the selected companies as active?","Sigur doriți să setați companiile selectate ca active?"
"Set a Company as Active","Setați o companie ca activă"
"Set Active","Setare activă"
"Are you sure you want to block the selected companies?","Sigur doriți să blocați firmele selectate?"
"Block a Company","Blochează o firmă"
"Block","Bloc"
"This action cannot be undone. Are you sure you want to delete the selected companies? After the company is deleted, all the company members will be set to Inactive.","Această acțiune nu poate fi anulată. Sigur doriți să ștergeți firmele selectate? După ce firma este ștersă, toți membrii companiei vor fi setați la Inactiv."
"ID","ID"
"Reseller ID","ID distribuitor"
"Comment","Comentariu"
"ZIP","Cod poștal"
"Customer Group","Grup Clienți"
"Company Admin","Administrator companie"
"Gender","Gen"
"Customer Type","Tip client"
"Are you sure you want to temporarily disable this company account? If you confirm, login for all company members will be blocked.","Sigur doriți să dezactivați temporar acest cont al firmei? În cazul confirmării, autentificarea pentru toți membrii companiei va fi blocată."
"Are you sure you want to set this company to active? If you confirm, the company members will be able to operate within their company account.>","Sigur doriți să setați această firmă să activeze? În cazul confirmării, membrii companiei vor putea funcționa în contul companiei.>"
"Are you sure you want to reject this company? If you confirm, login for all company members will be blocked.","Sigur doriți să respingeți această companie? În cazul confirmării, autentificarea pentru toți membrii companiei va fi blocată."
"Please specify the reason","Vă rugăm să specificați motivul"
"The reason will appear in the 'Rejected' email sent to the Company Admin. It will also be saved and displayed in Admin Panel (in the company profile).","Motivul va apărea în e-mailul ""Respins"" trimis Administratorului Companiei. De asemenea, va fi salvat și afișat în Panoul de Administrare (în profilul firmei)."
"Are you sure you want to block this company? If you proceed, the company members will not be able to place orders.","Sigur doriți să blocați această companie? În cazul confirmării, membrii companiei nu vor putea plasa comenzi."
"Reason for Rejection","Motivul respingerii"
"VAT / TAX ID","VAT / TAX ID"
"Website","Website"
"Prefix","Prefix"
"Middle Name/Initial","Nume de mijloc/Initial"
"Suffix","Sufix"
"Advanced Settings","Setări avansate"
"Change Customer Group?","Modificați grup de clienți?"
"This action will change the customer group for all members of this company. Would you like to proceed?","Această acțiune va schimba grupul de clienți pentru toți membrii acestei firme. Doriți să continuați?"
"The user <%- username %> is the company admin and cannot be set to inactive. You must set another user as the company admin first.","Utilizatorul <%- username %> este administratorul companiei și nu poate fi setat pe inactiv. Trebuie să setați mai întâi un alt utilizator ca administrator al companiei."
"Customer Active","Client activ"
"This customer is a user of a different company. If you proceed, the customer will be unlinked from the current company and linked to the selected company.","Acest client este un utilizator al unei firme diferite. Dacă  alegeți să continuați, clientul va fi deconectat de la firma curentă și legat de firma selectată."
"Change Company?","Schimbați compania?"
"Associate to Company","Asociat la companie"
"My Orders","Comenzile mele"
"Create New Customer","Creați client nou"
"Create New Company Account","Creați un cont nou de firmă"
"Name","Numeric"
"Role","Rol"
"Team","Echipa"
"Users","Utilizatori"
"%fieldName is a required field.","%fieldName este un câmp obligatoriu."
"%fieldName is a required field","%fieldName este un câmp obligatoriu"
"Consumer is not authorized to access resource","Consumatorul nu este autorizat să acceseze resurse"
"Your company account is blocked and you cannot place orders. If you have questions, please contact your company administrator.","Contul firmei dvs. este blocat și nu puteți plasa comenzi. Dacă aveți întrebări, contactați administratorul firmei dvs."
