"Attribute Properties","Поставке атрибута"
"'%value%' does not look like a valid local network name.","'%валуе%' не изгледа као валидан назив локалне мреже."
"'%value%' looks like a local network name, which is not an acceptable format.","'%валуе%' изгледа као назив локалне мреже, што није прихватљив формат."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%валуе%' изгледа као ДНС хостнаме, али се дата пунyцоде нотација не може декодирати."
"""%1"" is not a valid URL.","""%1"" није важећи УРЛ."
"""%1"" is not a valid date.","""%1"" није важећи датум."
"""%1"" does not fit the entered date format.","""%1"" не одговара унетом формату датума."
"""%1"" is a required value.","""%1"" је обавезна вредност."
"Please enter a valid date between %1 and %2 at %3.","Молимо унесите валидан датум измеду %1 и %2 у %3."
"Please enter a valid date equal to or greater than %1 at %2.","Молимо унесите валидан датум једнак или већи од %1 у %2."
"Please enter a valid date less than or equal to %1 at %2.","Молимо унесите валидан датум мањи или једнак од %1 у %2."
"""%1"" is not a valid file extension.","""%1"" није валидна екстензија за фајл."
"""%1"" is not a valid file.","""%1"" није валидан фајл."
"""%1"" exceeds the allowed file size.","""%1"" прелази дозвољену величину фајла."
"""%1"" is not a valid image format","""%1"" није валидан формат слике"
"""%1"" width exceeds allowed value of %2 px.","""%1"" ширина прелази дозвољену вредност од %2 пx."
"""%1"" height exceeds allowed value of %2 px.","""%1"" висина прелази дозвољену вредност од %2 пx."
"""%1"" cannot contain more than %2 lines.","""%1"" не може садржати више од %2 линија."
"""%1"" length must be equal or greater than %2 characters.","""%1"" дужина мора бити већа или једнака од %2 карактера."
"""%1"" length must be equal or less than %2 characters.","""%1"" дужина мора бити мања или једнака од %2 карактера."
"Attribute group does not belong to provided attribute set","Атрибут гроуп доес нот белонг то провидед аттрибуте сет"
"Cannot save attributeGroup","Не може се сачувати група атрибута"
"Group with id ""%1"" does not exist.","Група са ид %1 не постоји."
"Cannot delete attributeGroup with id %1","Не може делете аттрибутеГроуп wитх ид %1"
"AttributeSet with id ""%1"" does not exist.","Скуп атрибута са ИД ""%1"" не постоји."
"Wrong attribute set id provided","Погрешан ИД комплета атрибута"
"Attribute group does not belong to attribute set","Атрибут гроуп доес нот белонг то аттрибуте сет"
"Attribute set not found: %1","Атрибут сет није пронађено: %1"
"Attribute ""%1"" not found in attribute set %2.","Атрибут ""%1"" није пронађен у скупу атрибута %2."
"System attribute can not be deleted","Систем аттрибуте цан нот бе делетед"
"Cannot save attribute","Не може се сачувати атрибут"
"Attribute with attributeCode ""%1"" does not exist.","Атрибут са аттрибутеЦоде ""%1"" не постоји."
"Cannot delete attribute.","Не може се обрисати атрибут."
"Attribute with id ""%1"" does not exist.","Атрибут са ИД ""%1"" не постоји."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Подразумевано аттрибуте сет цан нот бе делетед"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Наведени ентитy_тyпе није важећи: %1"
"Entity is not initialized","Ентитет није иницијализован"
"Unknown parameter","Непознат параметар"
"Unique constraint violation found","Пронађено је јединствено кршење ограничења"
"The attribute code '%1' is reserved by system. Please try another attribute code","The attribute code '%1' is reserved by system. Please try another attribute code"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Неисправна подразумевана децимална вредност"
"Invalid default date","Неисправан подразумевани датум"
"Invalid entity supplied","Неисправан ентитет"
"Invalid backend model specified: %1","Неисправан бацкенд модел специфиед: %1"
"Source model ""%1"" not found for attribute ""%2""","Изворни модел ""%1"" није пронађен за атрибут ""%2"""
"The value of attribute ""%1"" must be set","Вредност атрибута ""%1"" мора бити постављена"
"The value of attribute ""%1"" must be unique","Вредност атрибута ""%1"" мора бити јединствена"
"Invalid date","Неважећи датум"
"Empty attribute code","Празан код атрибута"
"Attribute %1 doesn't work with options","Атрибут %1 доесн'т wорк wитх оптионс"
"Cannot save attribute %1","Не може саве аттрибуте %1"
"Attribute %1 doesn't have any option","Атрибут %1 доесн'т хаве анy оптион"
"Cannot load options for attribute %1","Не може лоад оптионс фор аттрибуте %1"
"Attribute %1 does not contain option with Id %2","Атрибут %1 доес нот цонтаин оптион wитх Ид %2"
"Entity attribute with id ""%1"" not found","Атрибут ентитета са ИД ""%1"" није пронађен"
"Attribute set name is empty.","Назив комплета атрибута је празан."
"An attribute set named ""%1"" already exists.","Скуп атрибута под називом ""%1"" већ постоји."
"No options found.","Опције нису пронађене."
"label","ознака"
"Invalid entity supplied: %1","Неисправан ентитy супплиед: %1"
"Attempt to add an invalid object","Аттемпт то адд ан неисправан објецт"
"Invalid attribute identifier for filter (%1)","Неважећи идентификатор атрибута за филтер (%1)"
"Invalid attribute requested: %1","Неисправан аттрибуте реqуестед: %1"
"Joint field or attribute expression with this alias is already declared","Израз заједничког поља или атрибута са овим псеудонимом је вец́ декларисан"
"Invalid alias, already exists in joint attributes","Неважећи алијас, већ постоји у заједничким атрибутима"
"Invalid foreign key","Неисправан страни кључ"
"Invalid entity type","Неисправан тип ентитета"
"Invalid attribute type","Неисправан тип атрибута"
"A joined field with this alias is already declared.","Заједничко поље са овим алијасом је већ декларисано."
"Invalid joint fields","Неважец́а заједничка поља"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Дата интегритy: Не хеадер роw фоунд фор аттрибуте"
"Invalid attribute name: %1","Неисправан аттрибуте наме: %1"
"Invalid character encountered in increment ID: %1","Неважећи знак се налази у повећању ИД: %1"
"The current module pathname is undefined.","Тренутни патхнаме модул није дефинисан."
"The current module EAV entity is undefined.","Тренутни ЕАВ ентитет модул није дефинисан."
"The form code is not defined.","Код форме није дефинисан."
"The entity instance is not defined.","Инстанца ентитета није дефинисана."
"Invalid form type.","Неисправан форм тyпе."
"Invalid EAV attribute","Неисправан ЕАВ атрибут"
"Attribute with the same code","Атрибут са истим кодом"
"The storefront label is not defined.","Ознака продавнице није дефинисана."
"Default option value is not defined","Подразумевана вредност опције није дефинисана"
"Attribute group with same code already exist. Please rename ""%1"" group","Група атрибута са истим кодом већ постоји. Молимо промените име ""%1"" групи"
"Form Element with the same attribute","Елемент Форме са истим атрибутом"
"Form Fieldset with the same code","Поље Форме са истим кодом"
"Form Type with the same code","Тип Форме са истим кодом"
"The value of attribute ""%1"" is invalid.","Вредност атрибута ""%1"" је неважећи."
"Wrong entity ID","Погрешан ИД ентитета"
"Wrong attribute set ID","Погрешан ИД комплета атрибута"
"Wrong attribute group ID","Погрешан ИД групе атрибута"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","Атибут са ИД: ""%1"" не постоји"
"AttributeSet does not exist.","Не постоји АттрибутеСет."
"hello","здраво"
"Some internal exception message.","Нека порука о интерном одступању."
"The value of attribute not valid","Вредност атрибута је неважећи"
"EAV types and attributes","ЕАВ врсте и атрибути"
"Entity types declaration cache","Кеш декларације типова ентитета"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%валуе%' лоокс лике а ДНС хостнаме бут wе не може матцх тхе ТЛД агаинст кноwн лист."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Неисправан бацкенд модел специфиед: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Тип уноса у Теxт Едитор захтева да WYСИWYГ буде омогућен у Сторес > Цонфигуратион > Цонтент Манагемент."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Група са ИД ""%1"" не постоји. Проверите ИД и покушајте поново."
"The attribute group with id ""%1"" can't be deleted.","Група атрибута са ИД ""%1"" не може бити обрисана."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","Сет атрибута са ИД ""%1"" не постоји. Проверите сет атрибута и покушајте поново."
"The attribute set ID is incorrect. Verify the ID and try again.","Тхе аттрибуте сет ИД ис нетачан. Верифy тхе ИД анд покушајте поново."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","Сет атрибута ""%1"" није пронађен. Проверите и покушајте поново."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","Атрибут ""%1"" није пронађен у сету атрибута ""%2"". Унесите атрибут и покушајте поново."
"The system attribute can't be deleted.","Системски атрибут се не може избрисати."
"The attribute can't be saved.","Атрибут не може бити снимљен."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","Атрибут са %1 аттрибутеЦоде не постоји. Проверите атрибут и покушајте поново."
"The attribute can't be deleted.","Атрибут се не може избрисати."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","Атрибут са %1 ИД бројем не постоји. Проверите атрибут и покушајте поново."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Скуп атрибута не може бити сачуван због грешке. Проверите информације и покушајте поново. Уколико и даље приказује грешку, молимо покушајте касније."
"The default attribute set can't be deleted.","Подразумевани скуп атрибута се не може избрисати."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","Скуп атрибута не може бити избрисан због грешке. Покушајте поново - уколико поново приказује грешке, молимо покушајте касније."
"This parameter is unknown. Verify and try again.","Овај параметар није познат. Проверите параметар и покушајте поново."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","Код атрибута мора бити %1 карактера или мање. Поново унесите код и покушајте поново."
"The default decimal value is invalid. Verify the value and try again.","Подразумевана децимална вредност није исправна. Проверите вредност и покушајте поново."
"The default date is invalid. Verify the date and try again.","Подразумевани датум није исправан. Провери датум и покушај поново."
"The entity supplied is invalid. Verify the entity and try again.","Обезбеђени ентитет није исправан. Проверите ентитет и покушајте поново."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","""%1"" бацкенд модел је неисправан. Проверите бацкенд модел и покушајте поново."
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1"" вредност атрибута је празна. Поставите атрибут и покушајте поново."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Вредност ""%1"" атрибута није јединствена. Подесите јединствену вредност и покушајте поново."
"The attribute code is empty. Enter the code and try again.","Код атрибута је празан. Унесите код и покушајте поново."
"The ""%1"" attribute doesn't work with options.","""%1"" атрибут не ради са овим опцијама."
"The ""%1"" attribute can't be saved.","""%1"" атрибут не може бити сачуван."
"The ""%1"" attribute has no option.","""%1"" атрибут нема опција."
"The options for ""%1"" attribute can't be loaded.","Опције за ""%1"" атрибут не могу бити учитане."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","""%1"" атрибут не укључује опцију са ИД ""%2""."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","Ентитет атрибута са ""%1"" ИД није пронађен. Ресетујте атрибут и покушајте поново."
"The attribute set name is empty. Enter the name and try again.","Назив сета атрибута је празан. Унесите назив и покушајте поново."
"A ""%1"" attribute set name already exists. Create a new name and try again.","""%1"" назив сета атрибута већ постоји. Креирајте ново име и покушајте поново."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","Обезбеђени ентитет ""%1"" није исправан. Проверите ентитет и покушајте поново."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","Објекат није додат зато што није исправан. Да наставите, унесите валидни објекат и наставите даље."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","""%1"" тражени атрибут је неважећи. Провери атрибут и покушај поново."
"The foreign key is invalid. Verify the foreign key and try again.","Страни кључ је неважећи. Провери страни кључ и покушај поново."
"The entity type is invalid. Verify the entity type and try again.","Тип ентитета је неисправан. Проверите тип ентитета и покушајте поново."
"The attribute type is invalid. Verify the attribute type and try again.","Тип атрибута није исправан. Проверите тип и атрибута и покушајте поново."
"A joint field with a ""%1"" alias is already declared.","Заједничко поље са ""%1"" алијасом је већ декларисано."
"A header row is missing for an attribute. Verify the header row and try again.","Недостаје заглавље за овај атрибут. Провери заглавље и покушај поново."
"The ""%1"" attribute name is invalid. Reset the name and try again.","""%1"" неважећи назив атрибута. Ресетујте назив и покушајте поново."
"The form type is invalid. Reset the type and try again.","Тип форме је неважећи. Ресетујте тип и покушајте поново."
"The EAV attribute is invalid. Verify the attribute and try again.","ЕАВ атрибут је неважећи. Провери атрибут и покушај поново."
"The default option isn't defined. Set the option and try again.","Подразумевана опција није дефинисана. Подесите опцију и покушајте поново."
"The entity ID is incorrect. Verify the ID and try again.","ИД ентитета је неважећи. Провери ИД и покушајте поново."
"The attribute group ID is incorrect. Verify the ID and try again.","ИД групе атрибуте је неважећи. Проверите ИД и покушајте поново."
"These changes affect all related products.","Ове промене утичу на све повезане производе."
"Text Editor","Текст Едитор"
