"Attribute Properties","خواص ویژگی"
"Joint field or attribute expression with this alias is already declared","فیلد مشترک یا ویژگی با این نام مستعار قبلا اعلام شده است"
"Invalid alias, already exists in joint attributes","نام مستعار نامعتبر بوده و در حال حاضر در ویژگی های مشترک وجود دارد"
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joined field with this alias is already declared.","فیلد پیوست شده با این نام مستعار قبلا اعلام شده است."
"Invalid joint fields","فیلدهای مشترک نامعتبر"
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"Invalid character encountered in increment ID: %1","کاراکتر نامعتبر در افزایش شناسه: %1"
"The current module pathname is undefined.","نام مسیر جاری ماژول نامشخص است."
"The current module EAV entity is undefined.","ورودی EAV ماژول جاری تعریف نشده است."
"The form code is not defined.","کد فرم تعریف نشده است."
"The entity instance is not defined.","نمونه ورودی تعریف نشده است."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"Attribute with the same code","ویژگی با کد یکسان"
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The storefront label is not defined.","برچسب ظاهر فروشگاه تعریف نشده است."
"Attribute group with same code already exist. Please rename ""%1"" group","گروه ویژگی با کد یکسان در حال حاضر وجود دارد. لطفا نام گروه ""%1"" را تغییر دهید"
"Form Element with the same attribute","المان فرم با ویژگی یکسان"
"Form Fieldset with the same code","مجموعه فیلد فرم با کد یکسان"
"Form Type with the same code","نوع فرم با کد یکسان"
"The value of attribute ""%1"" is invalid.","مقدار ویژگی ""%1"" نامعتبر است."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","""%1"" prefix is reserved by the system and cannot be used in attribute code names."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"Attribute with ID: ""%1"" does not exist","ویژگی با شناسه: ""%1"" وجود ندارد"
"AttributeSet does not exist.","مجموعه ویژگی وجود ندارد."
"hello","سلام"
"Some internal exception message.","برخی از پیغام های استثنایی داخلی."
"The value of attribute not valid","مقدار ویژگی نامعتبر است"
"These changes affect all related products.","These changes affect all related products."
"Text Field","فیلد متنی"
"Text Area","ناحیه‌ی متنی"
"Text Editor","Text Editor"
"Date","تاریخ"
"Yes/No","بله/ خیر"
"Multiple Select","چند انتخابی"
"Dropdown","کشویی"
"Caching Settings","Caching Settings"
"Cache User Defined Attributes","Cache User Defined Attributes"
"By default only system EAV attributes are cached.","By default only system EAV attributes are cached."
"EAV types and attributes","انواع و ویژگی های EAV"
"Entity types declaration cache","اعلام حافظه نهان انواع ورودی"
