"Attribute Properties","Postavke atributa"
"""%1"" exceeds the allowed file size.","""%1"" prelazi dozvoljenu veličinu fajla."
"""%1"" is not a valid image format","""%1"" nije validan format slike"
"""%1"" width exceeds allowed value of %2 px.","""%1"" širina prelazi dozvoljenu vrednost od %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" visina prelazi dozvoljenu vrednost od %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" ne može sadržati više od %2 linija."
"""%1"" length must be equal or greater than %2 characters.","""%1"" dužina mora biti veća ili jednaka od %2 karaktera."
"""%1"" length must be equal or less than %2 characters.","""%1"" dužina mora biti manja ili jednaka od %2 karaktera."
"Attribute group does not belong to provided attribute set","Atribut group does not belong to provided attribute set"
"Cannot save attributeGroup","Ne može se sačuvati grupa atributa"
"Group with id ""%1"" does not exist.","Grupa sa id %1 ne postoji."
"Cannot delete attributeGroup with id %1","Ne može delete attributeGroup with id %1"
"AttributeSet with id ""%1"" does not exist.","Skup atributa sa ID ""%1"" ne postoji."
"Wrong attribute set id provided","Pogrešan ID kompleta atributa"
"Attribute group does not belong to attribute set","Atribut group does not belong to attribute set"
"Attribute set not found: %1","Atribut set nije pronađeno: %1"
"Attribute ""%1"" not found in attribute set %2.","Atribut ""%1"" nije pronađen u skupu atributa %2."
"System attribute can not be deleted","Sistem attribute can not be deleted"
"Cannot save attribute","Ne može se sačuvati atribut"
"Attribute with attributeCode ""%1"" does not exist.","Atribut sa attributeCode ""%1"" ne postoji."
"Cannot delete attribute.","Ne može se obrisati atribut."
"Attribute with id ""%1"" does not exist.","Atribut sa ID ""%1"" ne postoji."
"There was an error saving attribute set.","There was an error saving attribute set."
"Default attribute set can not be deleted","Podrazumevano attribute set can not be deleted"
"There was an error deleting attribute set.","There was an error deleting attribute set."
"Invalid entity_type specified: %1","Navedeni entity_type nije važeći: %1"
"Entity is not initialized","Entitet nije inicijalizovan"
"Unknown parameter","Nepoznat parametar"
"Unique constraint violation found","Pronađeno je jedinstveno kršenje ograničenja"
"The attribute code '%1' is reserved by system. Please try another attribute code","The attribute code '%1' is reserved by system. Please try another attribute code"
"An attribute code must not be more than %1 characters.","An attribute code must not be more than %1 characters."
"Invalid default decimal value","Neispravna podrazumevana decimalna vrednost"
"Invalid default date","Neispravan podrazumevani datum"
"Invalid entity supplied","Neispravan entitet"
"Invalid backend model specified: %1","Neispravan backend model specified: %1"
"Source model ""%1"" not found for attribute ""%2""","Izvorni model ""%1"" nije pronađen za atribut ""%2"""
"The value of attribute ""%1"" must be set","Vrednost atributa ""%1"" mora biti postavljena"
"The value of attribute ""%1"" must be unique","Vrednost atributa ""%1"" mora biti jedinstvena"
"Invalid date","Nevažeći datum"
"Empty attribute code","Prazan kod atributa"
"Attribute %1 doesn't work with options","Atribut %1 doesn't work with options"
"Cannot save attribute %1","Ne može save attribute %1"
"Attribute %1 doesn't have any option","Atribut %1 doesn't have any option"
"Cannot load options for attribute %1","Ne može load options for attribute %1"
"Attribute %1 does not contain option with Id %2","Atribut %1 does not contain option with Id %2"
"Entity attribute with id ""%1"" not found","Atribut entiteta sa ID ""%1"" nije pronađen"
"Attribute set name is empty.","Naziv kompleta atributa je prazan."
"An attribute set named ""%1"" already exists.","Skup atributa pod nazivom ""%1"" već postoji."
"No options found.","Opcije nisu pronađene."
"label","oznaka"
"Invalid entity supplied: %1","Neispravan entity supplied: %1"
"Attempt to add an invalid object","Attempt to add an neispravan object"
"Invalid attribute identifier for filter (%1)","Nevažeći identifikator atributa za filter (%1)"
"Invalid attribute requested: %1","Neispravan attribute requested: %1"
"Joint field or attribute expression with this alias is already declared","Izraz zajedničkog polja ili atributa sa ovim pseudonimom je već deklarisan"
"Invalid alias, already exists in joint attributes","Nevažeći alijas, već postoji u zajedničkim atributima"
"Invalid foreign key","Neispravan strani ključ"
"Invalid entity type","Neispravan tip entiteta"
"Invalid attribute type","Neispravan tip atributa"
"A joined field with this alias is already declared.","Zajedničko polje sa ovim alijasom je već deklarisano."
"Invalid joint fields","Nevažeća zajednička polja"
"A joint field with this alias (%1) is already declared.","A joint field with this alias (%1) is already declared."
"Data integrity: No header row found for attribute","Data integrity: Ne header row found for attribute"
"Invalid attribute name: %1","Neispravan attribute name: %1"
"Invalid character encountered in increment ID: %1","Nevažeći znak se nalazi u povećanju ID: %1"
"The current module pathname is undefined.","Trenutni pathname modul nije definisan."
"The current module EAV entity is undefined.","Trenutni EAV entitet modul nije definisan."
"The form code is not defined.","Kod forme nije definisan."
"The entity instance is not defined.","Instanca entiteta nije definisana."
"Invalid form type.","Neispravan form type."
"Invalid EAV attribute","Neispravan EAV atribut"
"Attribute with the same code","Atribut sa istim kodom"
"The storefront label is not defined.","Oznaka prodavnice nije definisana."
"Default option value is not defined","Podrazumevana vrednost opcije nije definisana"
"Attribute group with same code already exist. Please rename ""%1"" group","Grupa atributa sa istim kodom već postoji. Molimo promenite ime ""%1"" grupi"
"Form Element with the same attribute","Element Forme sa istim atributom"
"Form Fieldset with the same code","Polje Forme sa istim kodom"
"Form Type with the same code","Tip Forme sa istim kodom"
"The value of attribute ""%1"" is invalid.","Vrednost atributa ""%1"" je nevažeći."
"Wrong entity ID","Pogrešan ID entiteta"
"Wrong attribute set ID","Pogrešan ID kompleta atributa"
"Wrong attribute group ID","Pogrešan ID grupe atributa"
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"Attribute with ID: ""%1"" does not exist","Atibut sa ID: ""%1"" ne postoji"
"AttributeSet does not exist.","Ne postoji AttributeSet."
"hello","zdravo"
"Some internal exception message.","Neka poruka o internom odstupanju."
"The value of attribute not valid","Vrednost atributa je nevažeći"
"EAV types and attributes","EAV vrste i atributi"
"Entity types declaration cache","Keš deklaracije tipova entiteta"
"Not shared with other products","Not shared with other products"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' looks like a DNS hostname but we ne može match the TLD against known list."
"Entity types declaration cache.","Entity types declaration cache."
"'Invalid backend model specified: ' .","'Neispravan backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Tip unosa u Text Editor zahteva da WYSIWYG bude omogućen u Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","Grupa sa ID ""%1"" ne postoji. Proverite ID i pokušajte ponovo."
"The attribute group with id ""%1"" can't be deleted.","Grupa atributa sa ID ""%1"" ne može biti obrisana."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","Set atributa sa ID ""%1"" ne postoji. Proverite set atributa i pokušajte ponovo."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is netačan. Verify the ID and pokušajte ponovo."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","Set atributa ""%1"" nije pronađen. Proverite i pokušajte ponovo."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","Atribut ""%1"" nije pronađen u setu atributa ""%2"". Unesite atribut i pokušajte ponovo."
"The system attribute can't be deleted.","Sistemski atribut se ne može izbrisati."
"The attribute can't be saved.","Atribut ne može biti snimljen."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","Atribut sa %1 attributeCode ne postoji. Proverite atribut i pokušajte ponovo."
"The attribute can't be deleted.","Atribut se ne može izbrisati."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","Atribut sa %1 ID brojem ne postoji. Proverite atribut i pokušajte ponovo."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","Skup atributa ne može biti sačuvan zbog greške. Proverite informacije i pokušajte ponovo. Ukoliko i dalje prikazuje grešku, molimo pokušajte kasnije."
"The default attribute set can't be deleted.","Podrazumevani skup atributa se ne može izbrisati."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","Skup atributa ne može biti izbrisan zbog greške. Pokušajte ponovo - ukoliko ponovo prikazuje greške, molimo pokušajte kasnije."
"This parameter is unknown. Verify and try again.","Ovaj parametar nije poznat. Proverite parametar i pokušajte ponovo."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","Kod atributa mora biti %1 karaktera ili manje. Ponovo unesite kod i pokušajte ponovo."
"The default decimal value is invalid. Verify the value and try again.","Podrazumevana decimalna vrednost nije ispravna. Proverite vrednost i pokušajte ponovo."
"The default date is invalid. Verify the date and try again.","Podrazumevani datum nije ispravan. Proveri datum i pokušaj ponovo."
"The entity supplied is invalid. Verify the entity and try again.","Obezbeđeni entitet nije ispravan. Proverite entitet i pokušajte ponovo."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","""%1"" backend model je neispravan. Proverite backend model i pokušajte ponovo."
"The ""%1"" attribute value is empty. Set the attribute and try again.","""%1"" vrednost atributa je prazna. Postavite atribut i pokušajte ponovo."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","Vrednost ""%1"" atributa nije jedinstvena. Podesite jedinstvenu vrednost i pokušajte ponovo."
"The attribute code is empty. Enter the code and try again.","Kod atributa je prazan. Unesite kod i pokušajte ponovo."
"The ""%1"" attribute doesn't work with options.","""%1"" atribut ne radi sa ovim opcijama."
"The ""%1"" attribute can't be saved.","""%1"" atribut ne može biti sačuvan."
"The ""%1"" attribute has no option.","""%1"" atribut nema opcija."
"The options for ""%1"" attribute can't be loaded.","Opcije za ""%1"" atribut ne mogu biti učitane."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","""%1"" atribut ne uključuje opciju sa ID ""%2""."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","Entitet atributa sa ""%1"" ID nije pronađen. Resetujte atribut i pokušajte ponovo."
"The attribute set name is empty. Enter the name and try again.","Naziv seta atributa je prazan. Unesite naziv i pokušajte ponovo."
"A ""%1"" attribute set name already exists. Create a new name and try again.","""%1"" naziv seta atributa već postoji. Kreirajte novo ime i pokušajte ponovo."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","Obezbeđeni entitet ""%1"" nije ispravan. Proverite entitet i pokušajte ponovo."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","Objekat nije dodat zato što nije ispravan. Da nastavite, unesite validni objekat i nastavite dalje."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","""%1"" traženi atribut je nevažeći. Proveri atribut i pokušaj ponovo."
"The foreign key is invalid. Verify the foreign key and try again.","Strani ključ je nevažeći. Proveri strani ključ i pokušaj ponovo."
"The entity type is invalid. Verify the entity type and try again.","Tip entiteta je neispravan. Proverite tip entiteta i pokušajte ponovo."
"The attribute type is invalid. Verify the attribute type and try again.","Tip atributa nije ispravan. Proverite tip i atributa i pokušajte ponovo."
"A joint field with a ""%1"" alias is already declared.","Zajedničko polje sa ""%1"" alijasom je već deklarisano."
"A header row is missing for an attribute. Verify the header row and try again.","Nedostaje zaglavlje za ovaj atribut. Proveri zaglavlje i pokušaj ponovo."
"The ""%1"" attribute name is invalid. Reset the name and try again.","""%1"" nevažeći naziv atributa. Resetujte naziv i pokušajte ponovo."
"The form type is invalid. Reset the type and try again.","Tip forme je nevažeći. Resetujte tip i pokušajte ponovo."
"The EAV attribute is invalid. Verify the attribute and try again.","EAV atribut je nevažeći. Proveri atribut i pokušaj ponovo."
"The default option isn't defined. Set the option and try again.","Podrazumevana opcija nije definisana. Podesite opciju i pokušajte ponovo."
"The entity ID is incorrect. Verify the ID and try again.","ID entiteta je nevažeći. Proveri ID i pokušajte ponovo."
"The attribute group ID is incorrect. Verify the ID and try again.","ID grupe atribute je nevažeći. Proverite ID i pokušajte ponovo."
"These changes affect all related products.","Ove promene utiču na sve povezane proizvode."
"Text Editor","Tekst Editor"
