"Attribute Properties","Attribuut-eigenschappen"
"'%value%' looks like a DNS hostname but we cannot match it against the hostname schema for TLD '%tld%'.","'%value%' lijkt een DNS hostname maar we kunnen geen onvereenkomstige TLD vinden in het hostname schema '%tld%'."
"'%value%' looks like a DNS hostname but cannot extract TLD part.","'%value%' lijkt een DNS hostname maar er kan geen TLD ontleed worden."
"'%value%' does not look like a valid local network name.","'%value%' lijkt niet op een geldige lokale netwerknaam."
"'%value%' looks like a local network name, which is not an acceptable format.","'%value%' lijkt op een lokale netwerknaam, dit formaat wordt niet aanvaard."
"'%value%' appears to be a DNS hostname, but the given punycode notation cannot be decoded.","'%value%' lijkt een DNS-hostname te zijn, maar de opgegeven punycode notatie kan niet gedecodeerd worden."
"""%1"" is not a valid URL.","""%1"" is geen geldige URL."
"""%1"" is not a valid date.","""%1"" is geen geldige datum."
"""%1"" does not fit the entered date format.","""%1"" past niet in het ingevulde datum-formaat."
"""%1"" is a required value.","""%1"" is een vereiste waarde."
"Please enter a valid date between %1 and %2 at %3.","Voer een geldige datum in tussen %1 en %2 bij %3."
"Please enter a valid date equal to or greater than %1 at %2.","Voer een geldige datum gelijk aan of groter dan %1 bij %2."
"Please enter a valid date less than or equal to %1 at %2.","Voer een geldige datum in minder of gelijk aan %1 bij %2."
"""%1"" is not a valid file extension.","""%1"" is geen geldige bestandsextentie."
"""%1"" is not a valid file.","""%1"" is geen geldig bestand."
"""%1"" exceeds the allowed file size.","""%1"" overschrijdt de toegestane bestandsgrootte."
"""%1"" is not a valid image format","""%1"" is geen geldig formaat voor afbeeldingen"
"""%1"" width exceeds allowed value of %2 px.","""%1"" breedte overschrijdt toegestane waarde van %2 px."
"""%1"" height exceeds allowed value of %2 px.","""%1"" hoogte overschrijdt toegestane waarde van %2 px."
"""%1"" cannot contain more than %2 lines.","""%1"" mag niet meer dan %2 regels bevatten."
"""%1"" length must be equal or greater than %2 characters.","""%1"" lengte moet minimaal %2 karakters zijn."
"""%1"" length must be equal or less than %2 characters.","""%1"" lengte mag maximaal %2 karakters zijn."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"Invalid entity_type specified: %1","Ongeldige entity_type opgegeven: %1"
"Entity is not initialized","Entiteit is niet geïnitialiseerd"
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"Unique constraint violation found","Unique constraint violation gevonden"
"The attribute code '%1' is reserved by system. Please try another attribute code","De attribuut code '%1' is gereserveerd door het systeem. Probeer een andere attribuut code"
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"Do not change entity type.","Do not change entity type."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"Source model ""%1"" not found for attribute ""%2""","Bron model ""%1"" niet gevonden voor attribuut ""%2"""
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"Invalid date","Ongeldige datum"
"The attribute option label is empty. Enter the value and try again.","The attribute option label is empty. Enter the value and try again."
"Admin store attribute option label ""%1"" is already exists.","Admin store attribute option label ""%1"" is already exists."
"The option id is empty. Enter the value and try again.","The option id is empty. Enter the value and try again."
"The '%1' attribute doesn't include an option id '%2'.","The '%1' attribute doesn't include an option id '%2'."
"Admin store attribute option label '%1' is already exists.","Admin store attribute option label '%1' is already exists."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"No options found.","Geen opties gevonden."
"label","label"
"The entity supplied to collection is invalid. Verify the entity and try again.","The entity supplied to collection is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"Invalid attribute identifier for filter (%1)","Ongeldige attribuut-identifier voor filter (%1)"
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"Joint field or attribute expression with this alias is already declared","Gezamenlijk veld of attribuut expressie met deze alias is al afgekondigd"
"Invalid alias, already exists in joint attributes","Ongeldige alias, bestaat al in gejoinde attributen"
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joined field with this alias is already declared.","Gekoppeld veld met deze alias bestaat al."
"Invalid joint fields","Invalid joint fields"
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"Invalid character encountered in increment ID: %1","Ongeldig teken in oplopend ID: %1"
"The current module pathname is undefined.","De huidige module padnaam is niet gedefinieerd."
"The current module EAV entity is undefined.","De huidige module EAV entiteit is undefined."
"The form code is not defined.","Code voor het formulier is niet gedefinieerd."
"The entity instance is not defined.","Het exemplaar van de entiteit is niet gedefinieerd."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"Attribute with the same code","Attribuut met dezelfde code"
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The storefront label is not defined.","Het storefront label is niet gedefinieerd."
"Attribute group with same code already exist. Please rename ""%1"" group","Er bestaan reeds een kenmerkgroep met dezelfde code. Wijzig de ""%1"" groep"
"Form Element with the same attribute","Form-element met dezelfde attribuut"
"Form Fieldset with the same code","Form-Fieldset met dezelfde code"
"Form Type with the same code","Form-type met dezelfde code"
"The value of attribute ""%1"" is invalid.","De waarde van attribuut '%1' is ongeldig."
"Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","Attribute code ""%1"" is invalid. Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter."
"An attribute code must not be less than %1 and more than %2 characters.","An attribute code must not be less than %1 and more than %2 characters."
"""%1"" prefix is reserved by the system and cannot be used in attribute code names.","""%1"" prefix is reserved by the system and cannot be used in attribute code names."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"Attribute with ID: ""%1"" does not exist","Kenmerk met id ""%1"" bestaat niet"
"AttributeSet does not exist.","AttributeSet bestaat niet."
"hello","hallo"
"Some internal exception message.","Een interne uitzonderingsbericht."
"The value of attribute not valid","De waarde van het attribuut is niet geldig"
"These changes affect all related products.","These changes affect all related products."
"Text Field","Tekstveld"
"Text Area","Tekstgedeelte"
"Text Editor","Text Editor"
"Date","Datum"
"Yes/No","Ja/Nee"
"Multiple Select","Multi-select"
"Dropdown","Dropdown"
"Caching Settings","Caching Settings"
"Cache User Defined Attributes","Cache User Defined Attributes"
"By default only system EAV attributes are cached.","By default only system EAV attributes are cached."
"EAV types and attributes","EAV typen en kenmerken"
"Entity types declaration cache","Entiteit typen verklaringen cache"
