"Attribute Properties","מאפייני תכונה"
"System attribute can not be deleted","לא ניתן למחוק את תכונת המערכת"
"Cannot save attribute","אין אפשרות לשמור את התכונה"
"Attribute with attributeCode ""%1"" does not exist.","התכונה עם attributeCode ""%1"" אינה קיים."
"Cannot delete attribute.","אין אפשרות למחוק את תכונה."
"Attribute with id ""%1"" does not exist.","תכונת מזהה ""%1"" אינה קיימת."
"There was an error saving attribute set.","אירעה שגיאה בעת שמירת קבוצת התכונות."
"Default attribute set can not be deleted","לא ניתן למחוק את ברירת מחדל של קבוצת התכונות"
"There was an error deleting attribute set.","אירעה שגיאה בעת מחיקת קבוצת התכונות."
"Invalid entity_type specified: %1","Entity_type לא חוקי צוין: %1"
"Entity is not initialized","ישות לא אותחלה"
"Unknown parameter","פרמטר לא ידוע"
"Unique constraint violation found","הפרה אילוץ ייחודי נמצאו"
"The attribute code '%1' is reserved by system. Please try another attribute code","הקוד תכונה '%1' שמור על-ידי המערכת. אנא נסה קוד תכונה נוסף"
"An attribute code must not be more than %1 characters.","קוד התכונה אינו יכול להיות יותר מ- %1 תווים."
"Invalid default decimal value","ברירת המחדל של הערך העשרוני לא חוקי"
"Invalid default date","תאריך ברירת המחדל לא חוקי"
"Invalid entity supplied","היישות שסופקה אינה חוקית"
"Invalid backend model specified: %1","צוין מודל backend לא חוקי: %1"
"Source model ""%1"" not found for attribute ""%2""","מודל מקור ""%1"" לא נמצא עבור התכונה ""%2"""
"The value of attribute ""%1"" must be set","הערך של התכונה ""%1"" חייב להיות מוגדר"
"The value of attribute ""%1"" must be unique","הערך של התכונה ""%1"" חייב להיות ייחודי"
"Invalid date","תאריך לא תקין"
"Empty attribute code","קוד תכונה ריק"
"Attribute %1 doesn't work with options","תכונה %1 לא עובד עם אפשרויות"
"Cannot save attribute %1","אין אפשרות לשמור את התכונה %1"
"Attribute %1 doesn't have any option","תכונה %1 אין אפשרות"
"Cannot load options for attribute %1","אין אפשרות לטעון אפשרויות עבור התכונה %1"
"Attribute %1 does not contain option with Id %2","התכונה %1 אינה מכילה אפשרות עם מזהה %2"
"Entity attribute with id ""%1"" not found","ישות התכונה עם מזהה ""%1"" לא נמצאה"
"Attribute set name is empty.","שם הסט של התכונה הוא ריק."
"An attribute set named ""%1"" already exists.","ערך התכונה בשם '%1' כבר קיימת."
"No options found.","אין אפשרויות שנמצאו."
"label","תווית"
"Invalid entity supplied: %1","ישות לא חוקית סופקה: %1"
"Attempt to add an invalid object","ניסיון להוסיף אובייקט לא חוקי"
"Invalid attribute identifier for filter (%1)","מזהה של תכונה לא חוקית עבור מסנן (%1)"
"Invalid attribute requested: %1","תכונה לא חוקית מבוקשת: %1"
"Joint field or attribute expression with this alias is already declared","הביטוי של שדה או התכונה המשותפת עם כינוי זה הוצהר בעבר"
"Invalid alias, already exists in joint attributes","כינוי לא חוקי, כבר קיימת בתכונות משותפות"
"Invalid foreign key","מפתח זר לא חוקי"
"Invalid entity type","סוג הישות לא חוקי"
"Invalid attribute type","סוג תכונה לא חוקי"
"A joined field with this alias is already declared.","שדה מצורף עם כינוי זה הוצהר כבר."
"Invalid joint fields","שדות משותפים לא חוקים"
"A joint field with this alias (%1) is already declared.","שדה משותף עם כינוי זה (%1) הוצהר כבר."
"Data integrity: No header row found for attribute","שלמות נתונים: אין שורת כותרת שנמצאה עבור התכונה"
"Invalid attribute name: %1","תכונה לא חוקית שם: %1"
"Invalid character encountered in increment ID: %1","תו לא חוקי התקבל במזהה מקודם: %1"
"The current module pathname is undefined.","המודול pathname הנוכחי אינו מוגדר."
"The current module EAV entity is undefined.","המודול הנוכחי מכיל ישות EAV שאינה מוגדרת."
"The form code is not defined.","קוד הטופס אינו מוגדר."
"The entity instance is not defined.","יישות המופע אינו מוגדר."
"Invalid form type.","סוג טופס לא חוקי."
"Invalid EAV attribute","תכונת EAV אינה חוקית"
"Attribute with the same code","תכונה עם אותו הקוד"
"The storefront label is not defined.","התווית בתצוגת החנות אינה מוגדרת."
"Default option value is not defined","ערך אפשרות ברירת המחדל אינו מוגדר"
"Attribute group with same code already exist. Please rename ""%1"" group","Attribute group with same code already exist. Please rename ""%1"" group"
"Form Element with the same attribute","רכיב טופס עם אותה תכונה"
"Form Fieldset with the same code","סט שדות בטופס עם אותו קוד"
"Form Type with the same code","סוג טופס עם אותו קוד"
"The value of attribute ""%1"" is invalid.","הערך של תכונת ""%1"" הוא לא חוקי."
"Wrong entity ID","מזהה ישות שגוי"
"Wrong attribute set ID","מזהה סט תכונה שגוי"
"Wrong attribute group ID","מזהה קבוצת תכונה שגוי"
"An attribute code must not be less than %1 and more than %2 characters.","קוד התכונה לא יכול להיות פחות %1 ויותר מ %2 תווים."
"Attribute with ID: ""%1"" does not exist","Attribute with ID: ""%1"" does not exist"
"AttributeSet does not exist.","AttributeSet אינו קיים."
"hello","שלום"
"Some internal exception message.","הודעת חריגה פנימית."
"The value of attribute not valid","הערך של תכונה לא חוקי"
"EAV types and attributes","סוגי EAV ותכונות"
"Entity types declaration cache","הגדרת סוגי יישות עבור מטמון"
"Not shared with other products","אינו משותף עם מוצרים אחרים"
"'%value%' looks like a DNS hostname but we cannot match the TLD against known list.","'%value%' נראה כמו שם מארח DNS אבל לא ניתן להתאים את TLD מול רשימה ידועה."
"Entity types declaration cache.","הגדרת סוגי יישות עבור מטמון."
"'Invalid backend model specified: ' .","'Invalid backend model specified: ' ."
"Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management.","Text Editor input type requires WYSIWYG to be enabled in Stores > Configuration > Content Management."
"The attribute group doesn't belong to the provided attribute set.","The attribute group doesn't belong to the provided attribute set."
"The attributeGroup can't be saved.","The attributeGroup can't be saved."
"The group with the ""%1"" ID doesn't exist. Verify the ID and try again.","The group with the ""%1"" ID doesn't exist. Verify the ID and try again."
"The attribute group with id ""%1"" can't be deleted.","The attribute group with id ""%1"" can't be deleted."
"The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again.","The AttributeSet with a ""%1"" ID doesn't exist. Verify the attributeSet and try again."
"The attribute set ID is incorrect. Verify the ID and try again.","The attribute set ID is incorrect. Verify the ID and try again."
"The attribute group doesn't belong to the attribute set.","The attribute group doesn't belong to the attribute set."
"The ""%1"" attribute set wasn't found. Verify and try again.","The ""%1"" attribute set wasn't found. Verify and try again."
"The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again.","The ""%1"" attribute wasn't found in the ""%2"" attribute set. Enter the attribute and try again."
"The system attribute can't be deleted.","The system attribute can't be deleted."
"The attribute can't be saved.","The attribute can't be saved."
"The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" attributeCode doesn't exist. Verify the attribute and try again."
"The attribute can't be deleted.","The attribute can't be deleted."
"The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again.","The attribute with a ""%1"" ID doesn't exist. Verify the attribute and try again."
"The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later.","The attribute set couldn't be saved due to an error. Verify your information and try again. If the error persists, please try again later."
"The default attribute set can't be deleted.","The default attribute set can't be deleted."
"The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later.","The attribute set couldn't be deleted due to an error. Try again — if the error persists, please try again later."
"This parameter is unknown. Verify and try again.","This parameter is unknown. Verify and try again."
"The attribute code needs to be %1 characters or fewer. Re-enter the code and try again.","The attribute code needs to be %1 characters or fewer. Re-enter the code and try again."
"The default decimal value is invalid. Verify the value and try again.","The default decimal value is invalid. Verify the value and try again."
"The default date is invalid. Verify the date and try again.","The default date is invalid. Verify the date and try again."
"The entity supplied is invalid. Verify the entity and try again.","The entity supplied is invalid. Verify the entity and try again."
"The ""%1"" backend model is invalid. Verify the backend model and try again.","The ""%1"" backend model is invalid. Verify the backend model and try again."
"The ""%1"" attribute value is empty. Set the attribute and try again.","The ""%1"" attribute value is empty. Set the attribute and try again."
"The value of the ""%1"" attribute isn't unique. Set a unique value and try again.","The value of the ""%1"" attribute isn't unique. Set a unique value and try again."
"The attribute code is empty. Enter the code and try again.","The attribute code is empty. Enter the code and try again."
"The ""%1"" attribute doesn't work with options.","The ""%1"" attribute doesn't work with options."
"The ""%1"" attribute can't be saved.","The ""%1"" attribute can't be saved."
"The ""%1"" attribute has no option.","The ""%1"" attribute has no option."
"The options for ""%1"" attribute can't be loaded.","The options for ""%1"" attribute can't be loaded."
"The ""%1"" attribute doesn't include an option with ""%2"" ID.","The ""%1"" attribute doesn't include an option with ""%2"" ID."
"The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again.","The entity attribute with the ""%1"" ID isn't found. Reset the attribute and try again."
"The attribute set name is empty. Enter the name and try again.","The attribute set name is empty. Enter the name and try again."
"A ""%1"" attribute set name already exists. Create a new name and try again.","A ""%1"" attribute set name already exists. Create a new name and try again."
"The ""%1"" entity supplied is invalid. Verify the entity and try again.","The ""%1"" entity supplied is invalid. Verify the entity and try again."
"The object wasn't added because it's invalid. To continue, enter a valid object and try again.","The object wasn't added because it's invalid. To continue, enter a valid object and try again."
"The ""%1"" attribute requested is invalid. Verify the attribute and try again.","The ""%1"" attribute requested is invalid. Verify the attribute and try again."
"The foreign key is invalid. Verify the foreign key and try again.","The foreign key is invalid. Verify the foreign key and try again."
"The entity type is invalid. Verify the entity type and try again.","The entity type is invalid. Verify the entity type and try again."
"The attribute type is invalid. Verify the attribute type and try again.","The attribute type is invalid. Verify the attribute type and try again."
"A joint field with a ""%1"" alias is already declared.","A joint field with a ""%1"" alias is already declared."
"A header row is missing for an attribute. Verify the header row and try again.","A header row is missing for an attribute. Verify the header row and try again."
"The ""%1"" attribute name is invalid. Reset the name and try again.","The ""%1"" attribute name is invalid. Reset the name and try again."
"The form type is invalid. Reset the type and try again.","The form type is invalid. Reset the type and try again."
"The EAV attribute is invalid. Verify the attribute and try again.","The EAV attribute is invalid. Verify the attribute and try again."
"The default option isn't defined. Set the option and try again.","The default option isn't defined. Set the option and try again."
"The entity ID is incorrect. Verify the ID and try again.","The entity ID is incorrect. Verify the ID and try again."
"The attribute group ID is incorrect. Verify the ID and try again.","The attribute group ID is incorrect. Verify the ID and try again."
"These changes affect all related products.","שינויים אלה משפיעים על כל המוצרים הקשורים."
"Text Editor","Text Editor"
