"Delete Selected Problems","Geselecteerde problemen verwijderen"
"We found no problems.","We hebben geen problemen aangetroffen."
"Subscriber","Abonneer"
"Queue Start Date","Wachtrij begindatum"
"Queue Subject","Wachtrij onderwerp"
"Error Code","Foutcode"
"Error Text","Fouttekst"
"Queue Start","Wachtrij start"
"Queue End","Wachtrij einde"
"Status","status"
"Processed","Verwerkt"
"Recipients","Geadresseerden"
"Unsubscribe","Uitschrijven"
"Delete","Verwijder"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-mail"
"Type","Soort"
"Guest","Bezoeker"
"Customer","Klant"
"Customer First Name","Voornaam klant"
"Customer Last Name","Achternaam klant"
"Not Activated","Niet geactiveerd"
"Subscribed","Geabonneerd"
"Unsubscribed","Uitgeschreven"
"Unconfirmed","Onbevestigd"
"Web Site","Website"
"Store","Winkel"
"Store View","Winkelaanzicht"
"Newsletter Subscriptions","Nieuwsbriefabonnementen"
"We have saved your subscription.","We hebben uw abonnement opgeslagen."
"A confirmation request has been sent.","Een bevestigingsmail is verstuurd."
"We have removed your newsletter subscription.","Uw nieuwsbrief abonnement is verwijderd."
"We have updated your subscription.","We hebben je abonnement bijgewerkt."
"General Options","Algemene Opties"
"Enabled","Ingeschakeld"
