"Delete Selected Problems","Kijelölt problémák törlése"
"Sent","Elküldve"
"Cancelled","Törölve"
"Not Sent","Nincs elküldve"
"Sending","Küldés"
"Paused","Szüneteltetve"
"There are no subscribers selected.","Nincs kijelölt feliratkozó."
"You selected an invalid queue.","Érvénytelen sort választott."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplikált sablon kód"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Kövesse ezt a linket a leiratkozáshoz <!-- Ez a tag a leiratkozási link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","Nincs ilyen entitás %fieldName = %fieldValue"
"Choose Store View:","Válasszon Boltnézetet:"
"Newsletter Message Preview","Hírlevél előnézet"
"Add to Queue","Hozzáadás egy listához"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Kérem adjon meg egy új sablon nevet."
" Copy"," Másolás"
"Are you sure you want to delete this template?","Biztosan törli e sablont?"
"Sign Up for Our Newsletter:","Iratkozzon fel hírlevelünkre:"
"Enter your email address","Adja meg e-mail címét"
"Subscribe","Feliratkozás"
"Newsletter subscription confirmation","Hírlevél feliratkozás megerősítés"
"Thank you for subscribing to our newsletter.","Köszönjük, hogy feliratkozott a hírlevelünkre."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Ahhoz hogy megkapja a hírlevelet, először meg kell erősítenie a feliratkozást úgy, hogy erre a linkre kattint:"
"Newsletter subscription success","Sikeres feliratkozás a hírlevélre"
"You have been successfully subscribed to our newsletter.","Sikeresen feliratkozott a hírlevelünkre."
"Newsletter unsubscription success","Sikeresen leiratkozott a hírlevélről"
"You have been unsubscribed from the newsletter.","Sikeresen leiratkozott a hírlevelünkről."
"Newsletter Template","Hírlevél sablon"
"Newsletter Section","Hírlevél szakasz"
"Subscription Options","Feliratkozási lehetőségek"
"Allow Guest Subscription","Feliratkozás engedélyezése vendégek számára"
"Need to Confirm","Megerősítés szükséges"
"Confirmation Email Sender","Megerősítő email küldője"
"Confirmation Email Template","Megerősítő email sablon"
"Email template chosen based on theme fallback when ""Default"" option is selected.","A kiválasztott email sablon alapján a tartalék téma amikor az ""Alapértelmezett"" opció van kiválasztva."
"Success Email Sender","Sikeres email küldő"
"Success Email Template","Sikeres email sablon"
"Unsubscription Email Sender","Leiratkozó email küldője"
"Unsubscription Email Template","Leiratkozás Email sablon"
"We found no problems.","Nem találtunk problémát."
"Subscriber","Feliratkozó"
"Queue Start Date","Sor kezdő dátuma"
"Queue Subject","Sor tárgya"
"Error Code","Hibakód"
"Error Text","Hiba szöveg"
"Queue Start","Sor kezdete"
"Queue End","Sor vége"
"Status","Állapot"
"Processed","Feldolgozott"
"Recipients","Címzettek"
"Unsubscribe","Leiratkozás"
"Delete","Törlés"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-mail"
"Type","Típus"
"Guest","Vendég"
"Customer","Vásárló"
"Customer First Name","Vásárló keresztneve"
"Customer Last Name","Vásárló vezetékneve"
"Not Activated","Nem aktivált"
"Subscribed","Feliratkozott"
"Unsubscribed","Leiratkozott"
"Unconfirmed","Meg nem erősített"
"Web Site","Weboldal"
"Store","Bolt"
"Store View","Bolt nézet"
"Newsletter Subscriptions","Hírlevél feliratkozások"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","Feliratkozását frissítettük."
"General Options","Általános beállítások"
"Enabled","Engedélyezve"
