"Delete Selected Problems","Slet de valgte problemer"
"Subscribers","Abonnenter"
"Please select one or more subscribers.","Vælg venligst en eller flere abonnenter."
"Total of %1 record(s) were deleted.","%1 optegnelser blev slettet."
"A total of %1 record(s) were updated.","Ialt %1 post(er) blev opdateret."
"The newsletter template has been deleted.","Nyhedsbrevsskabelonen er blevet slettet."
"We can't delete this template right now.","Vi kan ikke slette denne skabelon i øjeblikket."
"Edit Template","Rediger skabelon"
"New Template","Ny Skabelon"
"Create Newsletter Template","Opret Nyhedsbrevsskabelon"
"The newsletter template has been saved.","Nyhedsbrevsskabelonen er blevet gemt."
"Something went wrong while saving this template.","Noget gik galt, da denne skabelon blev forsøgt gemt."
"Newsletter Subscription","Nyhedsbrev abonnement"
"Something went wrong while saving your subscription.","Noget gik galt, da din tilmelding blev forsøgt gemt."
"We saved the subscription.","We saved the subscription."
"We removed the subscription.","We removed the subscription."
"Your subscription has been confirmed.","Your subscription has been confirmed."
"This is an invalid subscription confirmation code.","This is an invalid subscription confirmation code."
"This is an invalid subscription ID.","This is an invalid subscription ID."
"This email address is already assigned to another user.","This email address is already assigned to another user."
"Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>.","Sorry, but the administrator denied subscription for guests. Please <a href=""%1"">register</a>."
"Please enter a valid email address.","Angiv venligst en gyldig e-mailadresse."
"This email address is already subscribed.","Denne e-mailadresse er allerede tilmeldt."
"The confirmation request has been sent.","The confirmation request has been sent."
"Thank you for your subscription.","Tak for din tilmelding."
"There was a problem with the subscription: %1","There was a problem with the subscription: %1"
"Something went wrong with the subscription.","Something went wrong with the subscription."
"You unsubscribed.","Du afmeldte."
"Something went wrong while unsubscribing you.","Noget gik galt med vi afmeldte dig."
"Sent","Sendt"
"Cancelled","Annulleret"
"Not Sent","Ikke sendt"
"Sending","Sender"
"Paused","På pause"
"There are no subscribers selected.","There are no subscribers selected."
"You selected an invalid queue.","You selected an invalid queue."
"We cannot mark as received subscriber.","We cannot mark as received subscriber."
"Duplicate template code","Duplicate template code"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Choose Store View:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Add to Queue"
"Are you sure that you want to strip all tags?","Are you sure that you want to strip all tags?"
"Please enter a new template name.","Please enter a new template name."
" Copy"," Kopier"
"Are you sure you want to delete this template?","Are you sure you want to delete this template?"
"Sign Up for Our Newsletter:","Tilmeld dig vores nyhedsbrev:"
"Enter your email address","Indtast din e-mailadresse"
"Subscribe","Tilmeld"
"Newsletter subscription confirmation","Nyhedsbrev abonnement bekræftelse"
"Thank you for subscribing to our newsletter.","Tak for din tilmelding til vores nyhedsbrev."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","For at begynde at modtage nyhedsbrev, skal du først bekræfte dit abonnement ved at klikke på følgende link:"
"Newsletter subscription success","Nyhedsbrev abonnement succes"
"You have been successfully subscribed to our newsletter.","Du er blevet succesfuldt tilmeldt vores nyhedsbrev."
"Newsletter unsubscription success","Nyhedsbrev opsigelse af abonnement succes"
"You have been unsubscribed from the newsletter.","Du er blevet afmeldt fra nyhedsbrevet."
"Newsletter Template","Nyhedsbrevsskabelon"
"Newsletter Section","Nyhedsbrev sektion"
"Subscription Options","Abonnementsmuligheder"
"Allow Guest Subscription","Tillad gæst abonnement"
"Need to Confirm","Skal bekræftes"
"Confirmation Email Sender","Confirmation Email Sender"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","E-mailskabelon valgt baseret på temaets fallback når ""Standard"" indstilling er markeret."
"Success Email Sender","Success Email Sender"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Unsubscription Email Sender"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","We found no problems."
"Subscriber","Abonnent"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Error Code"
"Error Text","Error Text"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Status"
"Processed","Bearbejdet"
"Recipients","Modtagere"
"Unsubscribe","Afmeld"
"Delete","Slet"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","E-mail"
"Type","Type"
"Guest","Gæst"
"Customer","Kunde"
"Customer First Name","Kundens fornavn"
"Customer Last Name","Kundens efternavn"
"Not Activated","Ikke aktiv"
"Subscribed","Tilmeldt"
"Unsubscribed","Afmeldt"
"Unconfirmed","(Ubekræftet)"
"Web Site","Hjemmeside"
"Store","Butik"
"Store View","Butiksvisning"
"Newsletter Subscriptions","Nyhedsbrev abonnementer"
"We have saved your subscription.","Din tilmelding er blevet gemt."
"A confirmation request has been sent.","En bekræftelsesanmodning er blevet sendt."
"We have removed your newsletter subscription.","Vi har fjernet dit abonnement på nyhedsbrevet."
"We have updated your subscription.","Din tilmelding er blevet gemt."
"General Options","General Options"
"Enabled","Enabled"
