"Delete Selected Problems","Hapus Masalah yang Dipilih"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"No such entity with %fieldName = %fieldValue","No such entity with %fieldName = %fieldValue"
"Choose Store View:","Pilih Tampilan Toko:"
"Newsletter Message Preview","Newsletter Message Preview"
"Add to Queue","Tambahkan ke Antrian"
"Are you sure that you want to strip all tags?","Apakah Anda yakin ingin menghapus semua tag?"
"Please enter a new template name.","Harap masukkan nama template baru."
" Copy"," Salin"
"Are you sure you want to delete this template?","Apakah Anda yakin akan menghapus template ini?"
"Sign Up for Our Newsletter:","Sign Up for Our Newsletter:"
"Enter your email address","Masukkan alamat email Anda"
"Subscribe","Berlangganan"
"Newsletter subscription confirmation","Newsletter subscription confirmation"
"Thank you for subscribing to our newsletter.","Terima kasih telah berlangganan newsletter kami."
"To begin receiving the newsletter, you must first confirm your subscription by clicking on the following link:","Untuk mulai menerima nawala, Anda harus terlebih dahulu mengonfirmasi langganan Anda dengan mengeklik tautan berikut:"
"Newsletter subscription success","Newsletter subscription success"
"You have been successfully subscribed to our newsletter.","Anda telah berhasil berlangganan newsletter kami."
"Newsletter unsubscription success","Sukses berlangganan newsletter"
"You have been unsubscribed from the newsletter.","Anda telah berhenti berlangganan newsletter."
"Newsletter Template","Newsletter Template"
"Newsletter Section","Newsletter Section"
"Subscription Options","Subscription Options"
"Allow Guest Subscription","Izinkan Tamu Berlangganan"
"Need to Confirm","Perlu konfirmasi"
"Confirmation Email Sender","Konfirmasi Email Pengirim"
"Confirmation Email Template","Confirmation Email Template"
"Email template chosen based on theme fallback when ""Default"" option is selected.","Email template yang dipilih berdasarkan tema mundur ketika ""Default"" opsi yang dipilih."
"Success Email Sender","Pengiriman Email Sukses"
"Success Email Template","Success Email Template"
"Unsubscription Email Sender","Pengirim email tidak berlangganan"
"Unsubscription Email Template","Unsubscription Email Template"
"We found no problems.","Kami tidak menemukan masalah."
"Subscriber","Pelanggan"
"Queue Start Date","Queue Start Date"
"Queue Subject","Queue Subject"
"Error Code","Error Code"
"Error Text","Error Text"
"Queue Start","Queue Start"
"Queue End","Queue End"
"Status","Keadaan"
"Processed","Processed"
"Recipients","Penerima"
"Unsubscribe","Unsubscribe"
"Delete","Hapus"
"CSV","CSV"
"Excel XML","Excel XML"
"Email","Email"
"Type","Jenis"
"Guest","Tamu"
"Customer","Pelanggan"
"Customer First Name","Nama pelanggan"
"Customer Last Name","Nama pelanggan"
"Not Activated","Not Activated"
"Subscribed","Subscribed"
"Unsubscribed","Unsubscribed"
"Unconfirmed","Unconfirmed"
"Web Site","Situs Web"
"Store","Toko"
"Store View","Tampilan toko"
"Newsletter Subscriptions","Newsletter Subscriptions"
"We have saved your subscription.","We have saved your subscription."
"A confirmation request has been sent.","A confirmation request has been sent."
"We have removed your newsletter subscription.","We have removed your newsletter subscription."
"We have updated your subscription.","We have updated your subscription."
"General Options","General Options"
"Enabled","Enabled"
