"Save Review","Αποθήκευση Αξιολόγησης"
"We can't post your review right now.","Δεν μπορούμε να δημοσιέυσουμε την αξιολόγηση σας αυτή τη στιγμή."
"Storage key was not set","Κλειδί αποθήκευσης δεν ορίστηκε"
"Approved","Εγκρίθηκε"
"Pending","Προς έγκριση"
"Not Approved","Δεν Εγκρίθηκε"
"Please enter a review summary.","Παρακαλώ εισάγετε μια περίληψη της αξιολόγησης."
"Please enter a nickname.","Παρακαλώ εισάγετε ένα ψευδώνυμο."
"Please enter a review.","Παρακαλώ γράψτε μια αξιολόγηση."
"Rating isn't Available","Η βαθμολογία δεν είναι διαθέσιμη"
"Please specify a rating title for a store, or we'll just use the default value.","Παρακαλούμε καθορίστε έναν τίτλο εκτίμησης για ένα κατάστημα, ή απλά θα χρησιμοποιήσουμε την προεπιλεγμένη τιμή."
"Assigned Options","Ανατεθειμένες Επιλογές"
"Option Title:","Τίτλος Επιλογής:"
"Product Name","Όνομα Προϊόντος"
"Rating","Βαθμολογία"
"Actions","Ενέργειες"
"See Details","Δείτε λεπτομέρειες"
"You have submitted no reviews.","Δεν έχετε υποβάλει κάποια αξιολόγηση."
"Back","Πίσω"
"My Recent Reviews","Οι Πρόσφατες Αξιολογήσεις μου"
"View All","Προβολή Όλων"
"Average Customer Rating:","Μέσος Όρος Βαθμολογίας:"
"Your Review","Η Αξιολόγηση σας"
"Submitted on %1","Υποβλήθηκε στις %1"
"Back to My Reviews","Πίσω στις Αξιολογήσεις μου"
"Ratings Review Summary","Περίληψη Βαθμολογίας Αξιολογήσεων"
"Be the first to review this product","Γίνετε ο πρώτος που θα αξιολογήσει το προϊόν"
"Write Your Own Review","Γράψτε τη Δική σας Αξιολόγηση"
"* Required Fields","* Απαιτούμενα πεδία"
"You're reviewing:","Αξιολογείτε:"
"Your Rating","Η Βαθμολογία σας"
"%1 %2","%1 %2"
"Summary","Περίληψη"
"Submit Review","Υποβολή Αξιολόγησης"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Μόνο οι εγγεγραμένοι χρήστες μπορούν να γράψουν αξιολογήσεις. Παρακαλώ, <a href=""%1""> συνδεθείτε</a> ή <a href=""%2""> δημιουργήστε ένα λογαριασμό</a>"
"Add Your Review","Προσθέστε την Αξιολόγηση σας"
"%1 Review(s)","%1 Αξιολόγηση(εις)"
"Review by","Αξιολόγηση από"
"Posted on","Δημοσιεύτηκε στις"
"Back to Main Product Info","Πίσω στις Πληροφορίες Κύριου Προϊοντος"
"Average Customer Rating","Μέσος Όρος Βαθμολογίας"
"Product Rating:","Βαθμολογία Προϊόντος:"
"Product Review (submitted on %1):","Αξιολόγηση Προϊόντος (για %1):"
"Back to Product Reviews","Πίσω στις Αξιολογήσεις Προϊόντος"
"Please select one of each of the ratings above.","Παρακαλούμε επιλέξτε μία από τις κάθε παραπάνω βαθμολογίες."
"By Customers","Από τους Πελάτες"
"By Products","Από τα Προϊόντα"
"Allow Guests to Write Reviews","Επιτρέψτε στους Επισκέπτες να Γράψουν Κριτικές"
"Active","Ενεργό"
"Inactive","Ανενεργό"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Μόνο οι εγγεγραμένοι χρήστες μπορούν να γράψουν αξιολογήσεις. Παρακαλώ, <a href=""%1""> συνδεθείτε</a> ή <a href=""%2""> δημιουργήστε ένα λογαριασμό</a>"
"Enabled","Ενεργό"
"The storage key wasn't set. Add the storage key and try again.","Το κλειδί αποθήκευσης δεν έχει ρυθμιστεί. Προσθέστε το κλειδί αποθήκευσης και δοκιμάστε ξανά."
