"Save Review","Guardar análise"
"Please select review(s).","Selecione uma avaliação, por favor."
"A total of %1 record(s) have been deleted.","Um total de %1 registo(s) foram removidos."
"Something went wrong while deleting these records.","Algo correu mal ao apagar estes registos."
"A total of %1 record(s) have been updated.","Um total de %1 registo(s) foram atualizados."
"Something went wrong while updating these review(s).","Algo correu mal ao actualizar estas avaliações."
"You saved the review.","Avaliação gravada."
"Something went wrong while saving this review.","Algo correu mal ao gravar esta avaliação."
"The review was removed by another user or does not exist.","A avaliação foi removida por outro utilizador ou não existe."
"You deleted the rating.","Apagou a classificação."
"Ratings","Classificações"
"You saved the rating.","Avaliação gravada."
"My Product Reviews","Minhas Avaliações de Produto"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Classificação enviada para aprovação."
"We can't post your review right now.","De momento não é possível publicar a sua análise."
"Storage key was not set","Storage key was not set"
"Approved","Aprovado"
"Pending","Pendente"
"Not Approved","Não aprovado"
"Please enter a review summary.","Inserir resumo da classificação."
"Please enter a nickname.","Inserir um nome de utilizador."
"Please enter a review.","Inserir uma avaliação."
"Rating isn't Available","Classificação não disponível"
"Please specify a rating title for a store, or we'll just use the default value.","Por favor, especifique um título de classificação para uma loja, ou será utilizado o valor padrão."
"Assigned Options","Opções atribuídas"
"Option Title:","Título da opção:"
"Product Name","Nome do Produto"
"Rating","Classificação"
"Actions","Ações"
"See Details","Ver Detalhes"
"You have submitted no reviews.","Ainda não enviou classificações."
"Back","Voltar"
"My Recent Reviews","Minhas classificações recentes"
"View All","Ver tudo"
"Average Customer Rating:","Avaliação média do cliente:"
"Your Review","Sua avaliação"
"Submitted on %1","Enviado em %1"
"Back to My Reviews","Voltar para as minhas avaliações"
"Ratings Review Summary","Resumo das Classificações da Avaliação"
"Be the first to review this product","Seja o primeiro a avaliar este produto"
"Write Your Own Review","Escreva a sua própria avaliação"
"* Required Fields","* Campos Obrigatórios"
"You're reviewing:","Está a avaliar:"
"Your Rating","A sua classificação"
"%1 %2","%1 %2"
"Summary","Resumo"
"Submit Review","Enviar avaliação"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Apenas utilizadores registados podem fazer avaliações. Por favor, <a href=""%1"">inicie sessão</a> ou <a href=""%2"">crie uma nova conta</a>"
"Add Your Review","Adicione a sua avaliação"
"%1 Review(s)","%1 Avaliações"
"Review by","Avaliado por"
"Posted on","Publicado em"
"Back to Main Product Info","Voltar para a Informação de Produto"
"Average Customer Rating","Avaliação média do cliente"
"Product Rating:","Classificação do Produto:"
"Product Review (submitted on %1):","Avaliação do produto (enviado em %1):"
"Back to Product Reviews","Voltar para as Avaliações do Produto"
"Please select one of each of the ratings above.","Por favor, selecione uma de cada das classificações acima."
"By Customers","Por clientes"
"By Products","Por produtos"
"Allow Guests to Write Reviews","Permitir que os convidados escrevam avaliações"
"Active","Ativo"
"Inactive","Inativo"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
