"Save Review","Lagre anmeldelse"
"The review has been deleted.","Produktanmeldelsen har blitt slettet."
"Something went wrong  deleting this review.","Something went wrong  deleting this review."
"Customer Reviews","Customer Reviews"
"Edit Review","Edit Review"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Please select review(s)."
"A total of %1 record(s) have been deleted.","Totalt %1 post(er) ble slettet."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","Totalt %1 post(er) er oppdatert."
"Something went wrong while updating these review(s).","Something went wrong while updating these review(s)."
"You saved the review.","You saved the review."
"Something went wrong while saving this review.","Something went wrong while saving this review."
"The review was removed by another user or does not exist.","The review was removed by another user or does not exist."
"You deleted the rating.","You deleted the rating."
"Ratings","Ratings"
"You saved the rating.","You saved the rating."
"My Product Reviews","Mine produktomtaler"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","You submitted your review for moderation."
"We can't post your review right now.","We can't post your review right now."
"Storage key was not set","Storage key was not set"
"Approved","Godkjent"
"Pending","Ventende"
"Not Approved","Ikke godkjent"
"Please enter a review summary.","Skriv inn sammendrag av omtale."
"Please enter a nickname.","Vennligst skriv inn et klengenavn."
"Please enter a review.","Skriv inn en anmeldelse."
"Rating isn't Available","Rating er ikke tilgjengelig"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Tilordnede alternativer"
"Option Title:","Alternativtittel:"
"Product Name","Produktnavn"
"Rating","Rating"
"Actions","Handlinger"
"See Details","Se detaljer"
"You have submitted no reviews.","Du har ikke skrevet noen produktomtaler."
"Back","Tilbake"
"My Recent Reviews","Mine siste produktanmeldelser"
"View All","Vis alle"
"Average Customer Rating:","Gjennomsnittlig kundevurdering:"
"Your Review","Din produktanmeldelse"
"Submitted on %1","Skrevet den %1"
"Back to My Reviews","Tilbake til produktanmeldelser"
"Ratings Review Summary","Ratingomtale sammendrag"
"Be the first to review this product","Bli den første til å omtale produktet"
"Write Your Own Review","Skriv din egen produktanmeldelse"
"* Required Fields","* Nødvendige felt"
"You're reviewing:","Du omtaler:"
"Your Rating","Din vurdering:"
"%1 %2","%1 %2"
"Summary","Sammendrag"
"Submit Review","Legg til omtale"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Kun registrerte brukere kan skrive omtaler. Vennligst <a href=""%1""> Logg inn</a> eller <a href=""%2""> Registrer en konto</a>"
"Add Your Review","Legg til produktanmeldelse"
"%1 Review(s)","%1 Produktanmeldelse(r)"
"Review by","Gjennomgang av"
"Posted on","Posted on"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Gjennomsnittlig kundevurdering"
"Product Rating:","Produktvurdering:"
"Product Review (submitted on %1):","Produktanmeldelse (skrevet den %1):"
"Back to Product Reviews","Tilbake til produktanmeldelser"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","Etter produkter"
"Allow Guests to Write Reviews","Tillat gjester å skrive produktanmeldelser"
"Active","Aktiv"
"Inactive","Inaktiv"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
