"Save Review","Yorumu Kaydet"
"Something went wrong while updating these review(s).","Bu inceleme(ler) güncellenirken bir şeyler ters gitti."
"You saved the review.","Yorum kaydedildi."
"Something went wrong while saving this review.","Bu inceleme kaydedilirken bir şeyler ters gitti."
"The review was removed by another user or does not exist.","Yorum başka bir kullanıcı tarafından silindi veya bulunamadı."
"You deleted the rating.","Derecelendirmeyi sildiniz."
"Ratings","Puanlamalar"
"You saved the rating.","Ayarları kaydettiniz."
"My Product Reviews","Ürün Yorumlarım"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Yorumunuzu moderasyon için gönderilmiştir."
"We can't post your review right now.","İncelemenizi şu anda yayınlayamıyoruz."
"Storage key was not set","Storage key was not set"
"Approved","Onaylandı"
"Pending","Bekliyor"
"Not Approved","Onaylanmadı"
"Please enter a review summary.","Lütfen bir inceleme özeti girin."
"Please enter a nickname.","Lütfen bir kullanıcı adı girin."
"Please enter a review.","Lütfen bir inceleme girin."
"Rating isn't Available","Puanlama kullanılabilir değil"
"Please specify a rating title for a store, or we'll just use the default value.","Lütfen mağaza için bir derecelendirme başlığı belirtin, yoksa varsayılan değeri kullanacağız."
"Assigned Options","Atanan Seçenekler"
"Option Title:","Seçenek Başlığı:"
"Product Name","Ürün Adı"
"Rating","Değerlendirme"
"Actions","İşlemler"
"See Details","Detaylara bak"
"You have submitted no reviews.","Yorum eklemediniz."
"Back","Geri"
"My Recent Reviews","Geçmiş Yorumlarım"
"View All","Hepsini Göster"
"Average Customer Rating:","Ortalama Müşteri Puanı:"
"Your Review","Yorumunuz"
"Submitted on %1","Gönderilme zamanı %1"
"Back to My Reviews","Yorumlarım Sayfasına Dön"
"Ratings Review Summary","Değerlendirmeler Değerlendirme Özeti"
"Be the first to review this product","Bu ürünü ilk yorumlayan siz olun"
"Write Your Own Review","Kendi Yorumunuzu Yazın"
"* Required Fields","* Zorunlu Alan"
"You're reviewing:","Yorumunuz:"
"Your Rating","Değerlendirmeniz"
"%1 %2","%1 %2"
"Summary","Özet"
"Submit Review","Yorum Gönder"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Sadece kayıtlı kullanıcılar değerlendirme/yorum yazabilir. Lütfen, <a href=""%1""> giriş yapın </a> veya <a href=""%2""> Hesap Açın</a>"
"Add Your Review","Değerlendirmeniz"
"%1 Review(s)","%1 Yorum"
"Review by","Tarafından incelenen"
"Posted on","Yayınlanan"
"Back to Main Product Info","Ürüne Geri Dön"
"Average Customer Rating","Ortalama Müşteri Puanı "
"Product Rating:","Ürün Puanı:"
"Product Review (submitted on %1):","Ürün yorumu (%1 gönderilmiş):"
"Back to Product Reviews","Ürün Yorumlarına Dön"
"Please select one of each of the ratings above.","Lütfen yukarıdaki seçeneklerden birini seçiniz."
"By Customers","Müşterilere Göre"
"By Products","Ürünler Tarafından"
"Allow Guests to Write Reviews","Misafirlerin Yorum Yazmasına İzin ver"
"Active","Aktif"
"Inactive","Pasif"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
