"Save Review","حفظ المشاهدة"
"Rating isn't Available","التقييم غير متاح"
"Please specify a rating title for a store, or we'll just use the default value.","الرجاء تحديد عنوان ترتيب المتجر، أو سنقوم فقط باستخدام القيمة الافتراضية."
"Assigned Options","الخيارات المخصصة"
"Option Title:","عنوان الاختيار:"
"Product Name","اسم المنتج"
"Rating","Rating"
"Actions","اعمال"
"See Details","عرض التفاصيل"
"You have submitted no reviews.","لم تقم بإضافة اي مراجعات."
"Back","رجوع"
"My Recent Reviews","مراجعاتي الاخيرة"
"View All","عرض الكل"
"Average Customer Rating:","متوسط تقييم العميل:"
"Your Review","Your Review"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","العودة إلى تقييماتي"
"Ratings Review Summary","Ratings Review Summary"
"Be the first to review this product","كن أول من يراجع هذا المنتج"
"Write Your Own Review","كتابة مراجعتك"
"* Required Fields","* حقول مطلوبة"
"You're reviewing:","انت تقيم:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
"Summary","خلاصة"
"Submit Review","إرسال مراجعة"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","فقط الاعضاء المسجلين يمكنهم كتابة مراجعات. الرجاء <a href=""%1"">تسجيل الدخول</a> أو <a href=""%2""> إنشاء حساب</a>"
"Add Your Review","إضافة تقييمك"
"%1 Review(s)","%1 Review(s)"
"Review by","استعراض عن طريق"
"Posted on","Posted on"
"Back to Main Product Info","العودة إلى بيانات المنتج الرئيسية"
"Average Customer Rating","متوسط تقييم العميل"
"Product Rating:","تقييم المنتج:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","العودة لمراجعات المنتج"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","حسب العملاء"
"By Products","حسب المنتجات"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Active","فعال"
"Inactive","خاملة"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
