"Save Review","Desar ressenya"
"Something went wrong  deleting this review.","Alguna cosa ha anat malament eliminant la ressenya."
"Customer Reviews","Ressenyes de clients"
"Edit Review","Modificar ressenya"
"We can't retrieve the product ID.","We can't retrieve the product ID."
"Please select review(s).","Si us plau, seleccioneu ressenyes."
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"Something went wrong while deleting these records.","Something went wrong while deleting these records."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Something went wrong while updating these review(s).","Alguna cosa ha anat malament desant aquestes ressenyes."
"You saved the review.","Heu desat la ressenya."
"Something went wrong while saving this review.","Alguna cosa ha anat malament desant aquesta ressenya."
"The review was removed by another user or does not exist.","Un altre usuari ha eliminat la ressenya o no existeix."
"You deleted the rating.","You deleted the rating."
"Ratings","Ratings"
"You saved the rating.","You saved the rating."
"My Product Reviews","Les meves ressenyes de productes"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","Heu enviat la vostra ressenya a moderació."
"We can't post your review right now.","En aquests moments no podem publicar la vostra ressenya."
"Storage key was not set","Storage key was not set"
"Approved","Approved"
"Pending","Pending"
"Not Approved","Not Approved"
"Please enter a review summary.","Si us plau, introduïu un resum de la ressenya."
"Please enter a nickname.","Si us plau, introduïu un sobrenom (àlies)."
"Please enter a review.","Si us plau, introduïu una ressenya."
"Rating isn't Available","Rating isn't Available"
"Please specify a rating title for a store, or we'll just use the default value.","Please specify a rating title for a store, or we'll just use the default value."
"Assigned Options","Assigned Options"
"Option Title:","Option Title:"
"Product Name","Product Name"
"Rating","Rating"
"Actions","Accions"
"See Details","See Details"
"You have submitted no reviews.","No heu enviat cap ressenya."
"Back","Torna"
"My Recent Reviews","Les meves ressenyes recents"
"View All","View All"
"Average Customer Rating:","Average Customer Rating:"
"Your Review","La vostra ressenya"
"Submitted on %1","Submitted on %1"
"Back to My Reviews","Tornar a les meves ressenyes"
"Ratings Review Summary","Resum de revisió de valoracions"
"Be the first to review this product","Sigueu el primer a opinar sobre aquest producte"
"Write Your Own Review","Escriu la teva ressenya"
"* Required Fields","* Required Fields"
"You're reviewing:","Esteu revisant:"
"Your Rating","Your Rating"
"%1 %2","%1 %2"
"Summary","Resum"
"Submit Review","Enviar ressenya"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Add Your Review","Add Your Review"
"%1 Review(s)","%1 Review(s)"
"Review by","Review by"
"Posted on","Posted on"
"Back to Main Product Info","Back to Main Product Info"
"Average Customer Rating","Average Customer Rating"
"Product Rating:","Product Rating:"
"Product Review (submitted on %1):","Product Review (submitted on %1):"
"Back to Product Reviews","Back to Product Reviews"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","By Products"
"Allow Guests to Write Reviews","Allow Guests to Write Reviews"
"Active","Active"
"Inactive","Inactive"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
