"Save Review","Review opslaan"
"A total of %1 record(s) have been updated.","%1 record(s) bijgewerkt."
"Something went wrong while updating these review(s).","Er ging iets mis tijdens het bijwerken van deze review(en)."
"You saved the review.","U hebt de review opgeslagen."
"Something went wrong while saving this review.","Er ging iets mis bij het opslaan van deze review."
"The review was removed by another user or does not exist.","De review is verwijderd door een andere gebruiker, of bestaat niet"
"You deleted the rating.","U heeft de waardering verwijderd."
"Ratings","Waarderingen"
"You saved the rating.","U heeft de waardering opgeslagen."
"My Product Reviews","Productreviews"
"Cannot initialize product","Cannot initialize product"
"You submitted your review for moderation.","U heeft uw review aangeboden ter goedkeuring."
"We can't post your review right now.","Wij kunnen uw beoordeling nu niet plaatsen."
"Storage key was not set","Storage key was not set"
"Approved","Akkoord"
"Pending","In afwachting"
"Not Approved","Niet Akkoord"
"Please enter a review summary.","Voer een review samenvatting in."
"Please enter a nickname.","Voer een bijnaam in."
"Please enter a review.","Voer een review in."
"Rating isn't Available","Waardering is niet beschikbaar"
"Please specify a rating title for a store, or we'll just use the default value.","Geef een waardering titel voor een winkel, Anders gebruiken we de standaardwaarde."
"Assigned Options","Toegewezen opties"
"Option Title:","Titel optie:"
"Product Name","Product Naam"
"Rating","Waardering"
"Actions","Acties"
"See Details","Bekijk details"
"You have submitted no reviews.","U hebt nog geen reviews geschreven."
"Back","Terug"
"My Recent Reviews","Recente reviews"
"View All","Bekijk alles"
"Average Customer Rating:","Gemiddelde klantwaardering:"
"Your Review","Uw Review"
"Submitted on %1","Ingediend op %1"
"Back to My Reviews","Terug naar reviews-overzicht"
"Ratings Review Summary","Waarderingen Review Samenvatting"
"Be the first to review this product","Schrijf de eerste review over dit product"
"Write Your Own Review","Schrijf uw eigen review"
"* Required Fields","* Verplichte velden"
"You're reviewing:","U plaatst een review over:"
"Your Rating","Uw waardering"
"%1 %2","%1 %2"
"Summary","Samenvatting"
"Submit Review","Review versturen"
"Only registered users can write reviews. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Alleen geregistreerde gebruikers kunnen reviews schrijven. Log in of maak alstublieft een account aan. <a href=""%1""> inloggen</a> of <a href=""%2"">maak een account aan</a>"
"Add Your Review","Schrijf een review"
"%1 Review(s)","%d review(s)"
"Review by","Gereviewd door"
"Posted on","Gepost op"
"Back to Main Product Info","Terug naar productpagina"
"Average Customer Rating","Gemiddelde klantwaardering"
"Product Rating:","Productwaardering:"
"Product Review (submitted on %1):","Productreview (ingestuurd op %s):"
"Back to Product Reviews","Terug naar productreviews"
"Please select one of each of the ratings above.","Vul alle bovenstaande waarderingen in."
"By Customers","Per klant"
"By Products","Per product"
"Allow Guests to Write Reviews","Reviews door gasten toestaan"
"Active","Actief"
"Inactive","Inactief"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Enabled"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
