"Save Review","Salvează Recenzie"
"Add Your Review","Scrie o recenzie"
"%1 Review(s)","%1 Recenzii"
"Review by","Recenzie de"
"Posted on","Publicat la"
"Back to Main Product Info","înapoi la Informații Produs Principal"
"Average Customer Rating","Rating Mediu Client:"
"Product Rating:","Rating produs:"
"Product Review (submitted on %1):","Rating produs (trimis la %1):"
"Back to Product Reviews","înapoi la Recenzii Produs"
"Please select one of each of the ratings above.","Please select one of each of the ratings above."
"By Customers","By Customers"
"By Products","By Products"
"Allow Guests to Write Reviews","Permiteți vizitatorilor să scrie recenzii"
"Active","Activ"
"Inactive","Inactiv"
"Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Only registered users can write reviews. Please, <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>"
"Enabled","Activat"
"The storage key wasn't set. Add the storage key and try again.","The storage key wasn't set. Add the storage key and try again."
